name,manufacturer,form_factor,evaluation_or_commercialization,processor_architecture,processor_core_count,processor_manufacturer,processor_tdp,memory,onboard_storage,input_voltage,io_count,wireless,operating_system_bsp,operating_temperature_max,operating_temperature_min,certifications,short_summary,full_summary,full_product_description,target_applications
EMETXEI INTEL CORE DUO COM EXPRESS BASIC TYPE CPU MODULE,ARBOR TECHNOLOGY,COM EXPRESS,Commercialization,INTEL CORE DUO/CORE DUO/CELERON M,2,INTEL,Not Available,2 X PIN DDR SODIMM SOCKET SUPPORTING MHZ SDRAM GB,"1 X ULTRA ATA SUPPORTING IDE DEVICES, 1 X SERIAL ATA PORTS MB/S HDD TRANSFER RATE",AV,"['4 X USB PORTS, 16-BIT PROGRAMMABLE DIGITAL INPUT/OUTPUT']",Not Available,Not Available,60 C,-20 C,"CE, FCC Class B, RoHS","INTEL CORE DUO COM EXPRESS BASIC TYPE CPU MODULE WITH INTEGRATED GIGABIT ETHERNET, DUAL CHANNELS BIT LVDS, ANALOG RGB, AND EXTENDED OPERATING TEMPERATURE RANGE.","THIS CPU MODULE FEATURES INTEL CORE DUO/CORE DUO/CELERON M PROCESSOR, 2 X PIN DDR SODIMM SOCKET SUPPORTING MHZ SDRAM GB, INTEL GME ICHM CHIPSET, PHOENIXAWARD PNP FLASH BIOS, 4 X USB PORTS, 16-BIT PROGRAMMABLE DIGITAL INPUT/OUTPUT, 1 X PCIE X LANES, 1 X PCIE X LANES, 1 X PCI MASTERS, LPC LOW PIN COUNT INTERFACE, 1 X ULTRA ATA SUPPORTING IDE DEVICES, 1 X SERIAL ATA PORTS MB/S HDD TRANSFER RATE, 1 X REALTEK RTL PCIE GBE CONTROLLER, HD AUDIO LINK, INTEGRATED INTEL GRAPHICS MEDIA ACCELERATOR, ANALOG RGB SUPPORTS RESOLUTION X HZ, LCD DUAL CHANNELS BIT LVDS V VSB.","THE EMETXEI INTEL CORE DUO COM EXPRESS BASIC TYPE CPU MODULE FROM ARBOR TECHNOLOGY FEATURES INTEL CORE DUO/CORE DUO/CELERON M PROCESSOR, 2 X PIN DDR SODIMM SOCKET SUPPORTING MHZ SDRAM GB, INTEL GME ICHM CHIPSET, PHOENIXAWARD PNP FLASH BIOS, 4 X USB PORTS, 16-BIT PROGRAMMABLE DIGITAL INPUT/OUTPUT, 1 X PCIE X LANES, 1 X PCIE X LANES, 1 X PCI MASTERS, LPC LOW PIN COUNT INTERFACE, 1 X ULTRA ATA SUPPORTING IDE DEVICES, 1 X SERIAL ATA PORTS MB/S HDD TRANSFER RATE, 1 X REALTEK RTL PCIE GBE CONTROLLER, HD AUDIO LINK, INTEGRATED INTEL GRAPHICS MEDIA ACCELERATOR, ANALOG RGB SUPPORTS RESOLUTION X HZ, LCD DUAL CHANNELS BIT LVDS V VSB. IT OPERATES IN A TEMPERATURE RANGE OF -20 C TO 60 C AND REQUIRES AV POWER INPUT.",Not Available
MI AMD RYZENTM EMBEDDED V SERIES MINIITX MOTHERBOARD,IBASE,Mini-ITX,Not Available,AMD RyzenTM Embedded V Series,Not Available,AMD,Not Available,DDR SODIMM Max 64GB,1x M.2 supports NVMe,12V-24V DC-in,"['1x HDMI, 1x DisplayPort, 1x eDP, 1x 24-bit dual-channel LVDS, 1x USB, 1x SATA III, 1x COM, 1x PCIE x16, 1x Mini PCIE socket, 1x M.2 M-key']",Not Available,Not Available,60C,0C,Not Available,"AMD RyzenTM Embedded V Series Mini-ITX Motherboard with DDR SODIMM Max 64GB, 1x PCIE, Gigabit LAN, HDMI, DisplayPort, eDP, LVDS, USB, SATA III, COM, PCIE x16, Mini PCIE socket, M.2 M-key, 12V-24V DC-in.",Not Available,Not Available,Not Available
JN CARRIER BOARD NVIDIA JETSON NANO,AUVIDEA,COMPACT,False,ARM CORTEX-A,QUAD CORE,NVIDIA,Not Available,Not Available,M.2 NVME PCIE X,5V,"['USB, HDMI, DISPLAY PORT, GPIO, UART, SPI, IC']",LM823 WIFI module,Not Available,70°C,0°C,Not Available,"The JN Carrier Board is a compact, low-cost carrier board for the NVIDIA Jetson Nano. It features a quad-core ARM Cortex-A processor, NVIDIA Maxwell CUDA cores, and supports M.2 NVMe PCIe x storage.","The JN Carrier Board is designed for the NVIDIA Jetson Nano compute module, turning it into a super mini computer. It offers high computational and processing performance in a tiny form factor. The board supports either the Nano dev kit module with SD card or the Nano production module with eMMC. It is ideal for applications such as industrial AI computers and digital signage systems.","The JN Carrier Board for NVIDIA Jetson Nano is a compact, low-cost solution that turns the Jetson Nano compute module into a super mini computer. The board features a quad-core ARM Cortex-A processor, NVIDIA Maxwell CUDA cores, and supports M.2 NVMe PCIe x storage. It is designed for easy integration into an aluminum case and supports either the Nano dev kit module with SD card or the Nano production module with eMMC. The board is ideal for applications such as industrial AI computers and digital signage systems.","['INDUSTRIAL AI COMPUTERS', 'DIGITAL SIGNAGE SYSTEMS']"
IBASE IBF/IBFG,IBASE,Disk Size SBC,Not Available,AMD Ryzen Embedded VR Series,Not Available,AMD,Not Available,"DDR4 SODIMM, Max 32GB",1 x SATA III,12V DC-in,"['1 x HDMI', '1 x eDP', '1 x 24-bit LVDS dual-channel', '4 x USB 3.1', '2 x USB 2.0', '1 x SATA III', '1 x COM', '2 x M.2 sockets (M.2 E key)']",Not Available,Not Available,60C,0C,EuP/ErP,"AMD Ryzen Embedded VR Series board with DDR4 SODIMM memory, SATA III storage, and multiple I/O interfaces.","The IBASE IBF/IBFG is a Disk Size SBC board featuring AMD Ryzen Embedded VR Series processor. It supports DDR4 SODIMM memory up to 32GB and has 1 x SATA III for storage. The board provides multiple I/O interfaces including HDMI, eDP, LVDS dual-channel, USB 3.1, USB 2.0, COM, and M.2 sockets. It operates at a temperature range of 0C to 60C and complies with EuP/ErP certification.","The IBASE IBF/IBFG is a Disk Size SBC board featuring AMD Ryzen Embedded VR Series processor. It supports DDR4 SODIMM memory up to 32GB and has 1 x SATA III for storage. The board provides multiple I/O interfaces including HDMI, eDP, LVDS dual-channel, USB 3.1, USB 2.0, COM, and M.2 sockets. It operates at a temperature range of 0C to 60C and complies with EuP/ErP certification. The board is suitable for various applications and is available for ODM/OEM.",Not Available
NXPFREESCALE IMX HUMMINGBOARD PRO CARRIER BOARD IMX SOM SYSTEMONMODULE,SOLIDRUN LTD,System on Modules -SOMs,Evaluation,Arm Cortex A9,Single Quad Core,NXP,Not Available,Up to 4GB DDR,"uSD, mSATA",5V,"['RJ45, Host USB, HDMI-Out, SPDIF, MIPICSI Camera, Reset Button, 26 pins GPIO Header']","802.11 a/b/g/n/ac, BT 2.4, BT 5","Android, Linux",85° C,-40° C,Not Available,The Pro version of the HummingBoard carrier offers a valuable development platform with advanced capabilities including multiple storage methods for an embedded device.,"The HummingBoard Pro is a robust design with a small footprint. It is based on NXP's iMX Single Quad Core and offers up to 4GB DDR. It provides multiple storage methods via uSD and mSATA, and supports Android and Linux operating systems.","The HummingBoard Pro is a development platform offering advanced capabilities including multiple storage methods. It is based on NXP's iMX Single Quad Core and offers up to 4GB DDR. It provides multiple storage methods via uSD and mSATA, and supports Android and Linux operating systems. It has a variety of IO interfaces including RJ45, Host USB, HDMI-Out, SPDIF, MIPICSI Camera, Reset Button, and 26 pins GPIO Header. The device operates at 5V.","IoT, M2M"
IBASE IBAF,IBASE,Single Board Computer,False,Intel Core U-Series,Not Available,Intel,Not Available,DDR SODIMM Max 64GB Non-ECC,1x mSATA,V-V DC-in,"['1x USB 3.0', '1x USB 2.0', '1x COM', '1x SATA III', '1x Mini PCIE slot']",Not Available,Not Available,60C,0C,Not Available,"Single Board Computer with 4th Gen Intel Core U-Series processor, DDR SODIMM Max 64GB Non-ECC memory, and 1x mSATA storage.","This Single Board Computer features a 4th Gen Intel Core U-Series processor, DDR SODIMM Max 64GB Non-ECC memory, and 1x mSATA storage. It also includes 1x USB 3.0, 1x USB 2.0, 1x COM, 1x SATA III, and 1x Mini PCIE slot. The operating temperature range is 0C to 60C.","The IBASE IBAF is a Single Board Computer that features a 4th Gen Intel Core U-Series processor, DDR SODIMM Max 64GB Non-ECC memory, and 1x mSATA storage. It also includes 1x USB 3.0, 1x USB 2.0, 1x COM, 1x SATA III, and 1x Mini PCIE slot. The operating temperature range is 0C to 60C. The input voltage is V-V DC-in.",Not Available
SB EX PORT SERIAL ETHERNET SERVER,NETBURNER INC,"4.20"" x 3.25"" x 1.00"" (inches)",False,FREESCALE COLDFIRE,1,FREESCALE,Not Available,"1 MB FLASH, 1 MB SDRAM",1 MB FLASH,5 VDC,['TWO UARTS'],Yes,Not Available,85°C,-40°C,"['UL', 'CUL', 'CE', 'FCC', 'ROHS COMPLIANCE']","The SB EX is a serial Ethernet server with RS232 and RS485 support. It features a 32-bit Freescale ColdFire processor, 1MB of flash memory, and 1MB of SDRAM. It has two UARTs and operates at 5VDC.","The SB EX is a robust serial Ethernet server designed to support RS232 and RS485 serial devices. It is equipped with a 32-bit Freescale ColdFire processor running at 66 MHz, 1MB of flash memory, and 1MB of SDRAM. The device features two UARTs for data I/O interface, and operates at an input voltage of 5VDC. It is compliant with UL, CUL, CE, FCC, and RoHS standards.","The SB EX is a serial Ethernet server designed to support RS232 and RS485 serial devices. It is equipped with a 32-bit Freescale ColdFire processor running at 66 MHz, 1MB of flash memory, and 1MB of SDRAM. The device features two UARTs for data I/O interface, and operates at an input voltage of 5VDC. It is compliant with UL, CUL, CE, FCC, and RoHS standards. The device comes in a metal enclosure and can be customized with a development kit. The SB EX is designed for commercial use.",Serial to Ethernet applications
IMB,AXIOMTEK CO. LTD,ATX,commercialization,Intel Core,Not Available,Intel,Not Available,"DDR DIMM, 64GB","SATA, mSATA",Not Available,"['USB x 4, USB 2.0 x 2, RS-232 x 2, HDMI x 1, VGA x 1, DP x 1, PS/2 x 1, SATA x 2, mSATA x 1']",Wi-Fi/Bluetooth/LTE,"Windows 10, Linux",60 C,0 C,Not Available,"ATX motherboard with LGA socket, 7th-8th gen Intel Core i3/i5/i7, Pentium, Celeron processor, Intel H310, USB 3.1, SATA 6GbE LAN, VGA, DisplayPort, HDMI, mSATA.","The IMB is an ATX motherboard featuring the LGA socket 7th-8th gen Intel Core i3/i5/i7, Pentium, Celeron processor. It supports two 288-pin DDR4 DIMM with a memory capacity of 64GB. The motherboard includes interfaces such as SATA, mSATA, USB 3.1, USB 2.0, RS-232, HDMI, VGA, DP, and PS/2. It operates at a temperature range of 0-60 C.","The IMB is an ATX motherboard from Axiomtek. It is equipped with the LGA socket 7th-8th gen Intel Core i3/i5/i7, Pentium, Celeron processor. The motherboard supports two 288-pin DDR4 DIMM with a memory capacity of 64GB. It includes interfaces such as SATA, mSATA, USB 3.1, USB 2.0, RS-232, HDMI, VGA, DP, and PS/2. The motherboard operates at a temperature range of 0-60 C. It is suitable for a wide range of applications.",AIoT applications
PCMC SLOT PCMCIA MODULE,Rockwell Automation,PCMCIA,Commercialization,NXP PowerQUICC® IITM series,Not Available,NXP,Not Available,"DRAM, Flash ROM, and Flash RAM",Flash ROM and Flash RAM,5V,['Not Available'],Not Available,Not Available,60C,0C,"UR UL Recognized, C-Tick Australian Radiocommunications Act, CE European Union 89/336/EEC EMC Directive","The PCMC Slot PCMCIA Module is a PC ISA Standard Compliant PCMCIA V JEIDA PC Card Format that accepts Type I, II, III PCMCIA cards. It has a 16-bit data bus and supports PC external drive, PCMCIA Card drive, PC bus Drive.","The PCMC Slot PCMCIA Module is a PC ISA Standard Compliant PCMCIA V JEIDA PC Card Format that accepts Type I, II, III PCMCIA cards. It has a 16-bit data bus and supports PC external drive, PCMCIA Card drive, PC bus Drive. It operates at a temperature range of 0C to 60C and requires a power supply voltage of 5V.","The PCMC Slot PCMCIA Module is a PC ISA Standard Compliant PCMCIA V JEIDA PC Card Format that accepts Type I, II, III PCMCIA cards. It has a 16-bit data bus and supports PC external drive, PCMCIA Card drive, PC bus Drive. It operates at a temperature range of 0C to 60C and requires a power supply voltage of 5V. The module has a programmable KB SMD boot Flash BIOS and a power consumption of 5V mA typical.","Used in laptop computers to provide expansion capabilities for memory, storage, and connectivity."
PICO-PI-IMX,TECHNEXION,PICO,False,ARM Cortex-A,Dual core,NXP,Not Available,Up to 8GB DDR4L,8GB eMMC,5V DC,"['IS, UART, SPI, I2C, PWM, GPIO']","WiFi abgnac, Bluetooth","['Linux Yocto', 'Android', 'Ubuntu']",+85°C,-40°C,"['FCC', 'IC', 'EN', 'TELEC', 'RCM', 'RoHS', 'REACH', 'Bluetooth Logo Certification']","PICO-PI-IMX is a dual-core ARM Cortex-A system module with up to 8GB DDR4L memory, 8GB eMMC storage, and wireless capabilities including WiFi and Bluetooth.","The PICO-PI-IMX is a powerful, compact system module featuring a dual-core ARM Cortex-A processor from NXP, up to 8GB DDR4L memory, and 8GB eMMC storage. It offers a variety of IO interfaces including IS, UART, SPI, I2C, PWM, and GPIO. The module also includes wireless capabilities with WiFi and Bluetooth. It supports multiple operating systems including Linux Yocto, Android, and Ubuntu.","The PICO-PI-IMX is a compact, powerful system module from TechNexion. It features a dual-core ARM Cortex-A processor from NXP, up to 8GB DDR4L memory, and 8GB eMMC storage. The module offers a variety of IO interfaces including IS, UART, SPI, I2C, PWM, and GPIO. It also includes wireless capabilities with WiFi and Bluetooth. The PICO-PI-IMX supports multiple operating systems including Linux Yocto, Android, and Ubuntu. It is compliant with a range of certifications including FCC, IC, EN, TELEC, RCM, RoHS, REACH, and Bluetooth Logo Certification.",Not Available
AZUMO DEV KIT,AZUMO,Not Available,True,Nehalem,1 to 4 cores,Intel,23 to 85 watts,64GB HBM2e memory,Not Available,USB POWER SUPPLY,['MICRO USB CONNECTOR'],Not Available,Not Available,Not Available,Not Available,Not Available,The Azumo Dev Kit is a development kit for displays. It includes a USB cable for power and a Micro USB connector. The kit also includes a button for toggling the front light and manually skipping images.,"The Azumo Dev Kit is a comprehensive development kit designed for Azumo displays. It includes a USB cable that can be connected to a power supply, computer USB hub, or smartphone charger. The kit features a button for toggling the front light and manually skipping images. The kit is not suitable for environmental testing and is intended for development purposes only.","The Azumo Dev Kit is a comprehensive development kit designed for Azumo displays. It includes a USB cable that can be connected to a power supply, computer USB hub, or smartphone charger. The kit features a button for toggling the front light and manually skipping images. The kit is not suitable for environmental testing and is intended for development purposes only. Schematics and source code are available upon request.",DEVELOPMENT PURPOSES
PBQ QSEVEN CARRIER BOARD,ARBOR TECHNOLOGY,EPIC,Commercialization,Not Available,Not Available,INTEL,Not Available,Not Available,1x SATA connector,V - V,"['1x RS', '1x RS selectable', '1x VGA connector', '1x LVDS connector', '1x DisplayPort connector', '1x MiniCard Socket', '1x SATA connector', '1x CPU module', '1x LPC connector', '4x USB Ports', '2x GbE LAN']",1 x NGFF (M.2) socket for Skt1-E for wireless,Depends CPU Module,85°C,-40°C,Not Available,"The PBQ Qseven Carrier Board from Arbor Technology is an EPIC form factor board with dual Gigabit Ethernet ports, integrated Gigabit Ethernet, wide range DC power input, and multiple I/O options.","The PBQ Qseven Carrier Board from Arbor Technology is an EPIC form factor board that features dual Gigabit Ethernet ports, integrated Gigabit Ethernet, single channel bit LVDS, dual channels bit LVDS, analog RGB DVI, wide range DC power input, and a Super IO Chipset Fintek FED. It also includes multiple I/O options such as RS, RS selectable, VGA connector, LVDS connector, DisplayPort connector, MiniCard Socket, SATA connector, CPU module, and USB ports.","The PBQ Qseven Carrier Board from Arbor Technology is an EPIC form factor board that features dual Gigabit Ethernet ports, integrated Gigabit Ethernet, single channel bit LVDS, dual channels bit LVDS, analog RGB DVI, wide range DC power input, and a Super IO Chipset Fintek FED. It also includes multiple I/O options such as RS, RS selectable, VGA connector, LVDS connector, DisplayPort connector, MiniCard Socket, SATA connector, CPU module, and USB ports. The board supports a wide range of DC power input and has a power requirement of V - V. The operating system support depends on the CPU module.","Industrial, Embedded Computing"
HOBBITBOARD,WANDBOARD,EDM Type 1,False,ARM Cortex-A9,Not Available,ARM,Not Available,Upto 2GB DDR3,MicroSD,5V DC +/-5%,['Not Available'],Qualcomm Atheros QCA9377 Wi-Fi 5 – 802.11 a/b/g/n/ac (optional),BRILLO,+60°C,0°C,Compliant with RoHS / REACH directives,"The Hobbitboard is a compact, high-performance platform optimized for mobile Internet of Things applications. It uses the Intel Edison connector for connectivity and sensors, and is easily expanded for multimedia connectivity.","The Hobbitboard is a compact, high-performance platform highly optimized for mobile Internet of Things applications. It uses the Intel Edison connector for connectivity and sensors, and also adds additional expansion possibilities for multimedia connectivity. It is designed to be easily expanded and implemented for various industry applications.","The Hobbitboard is a compact, high-performance platform optimized for mobile Internet of Things applications. It uses the Intel Edison connector for connectivity and sensors, and also adds additional expansion possibilities for multimedia connectivity. It is designed to be easily expanded and implemented for various industry applications. The Hobbitboard is made for Brillo, which brings simplicity and speed to software development for hardware IoT with its embedded OS, core services, developer kit, and developer console.","['Home automation', 'Drones', '3D printers', 'Climate control', 'Robots', 'Remote sensor networks']"
PHYCORE IMX SYSTEM MODULE,PHYTEC,70 X 50 MM,False,"ARM CORTEX-A, ARM CORTEX-M","SINGLE, DUAL-CORE",NXP,Not Available,"UP TO 1 GB DDR, UP TO 1 GB NAND, 4 GB EMMC, QSPI NOR, EEPROM","UP TO 1 GB NAND, 4 GB EMMC",3.3 V,"['MULTIPLE (ADC, RTC, PWM, GPIO, KEYBOARD, JTAG)']","WiFi, Bluetooth and GPS","['LINUX BSP', 'FREERTOS BSP', 'YOCTO PROJECT SUPPORT']",85 C,-40 C,Not Available,"THE PHYCORE-IMX SYSTEM MODULE (SOM) SUPPORTS NEXT-GENERATION NXP IMX SINGLE AND DUAL-CORE APPLICATIONS PROCESSORS. IT OFFERS HIGH PERFORMANCE PROCESSING, ULTRA-LOW POWER, AND EXTENSIVE PERIPHERAL SET IN A TINY FORM FACTOR.","THE PHYCORE-IMX SYSTEM MODULE (SOM) IS DESIGNED TO ACCELERATE PRODUCT DEVELOPMENT CYCLES, PROVIDING CUTTING-EDGE TECHNOLOGIES TO SUCCESSFULLY ADDRESS EVER-EVOLVING CHALLENGES. IT SUPPORTS NEXT-GENERATION NXP IMX SINGLE AND DUAL-CORE APPLICATIONS PROCESSORS, OFFERING HIGH PERFORMANCE PROCESSING, ULTRA-LOW POWER, AND EXTENSIVE PERIPHERAL SET IN A TINY FORM FACTOR. IT IS IDEAL FOR A WIDE RANGE OF EMBEDDED APPLICATIONS INCLUDING IOT, INDUSTRIAL HUMAN MACHINE INTERFACE (HMI), AND PORTABLE TEST & MEASUREMENT.","THE PHYCORE-IMX SYSTEM MODULE (SOM) IS A HIGH-PERFORMANCE, ULTRA-LOW POWER MODULE THAT SUPPORTS NEXT-GENERATION NXP IMX SINGLE AND DUAL-CORE APPLICATIONS PROCESSORS. IT OFFERS A SCALABLE SET OF ONBOARD MEMORY AND ADDITIONAL PERIPHERAL IO FEATURES ROUTED TO HIGH-DENSITY CONNECTORS. THE MODULE IS IDEAL FOR A WIDE RANGE OF EMBEDDED APPLICATIONS INCLUDING IOT, INDUSTRIAL HUMAN MACHINE INTERFACE (HMI), AND PORTABLE TEST & MEASUREMENT. IT COMES WITH LINUX, FREERTOS, AND YOCTO PROJECT SUPPORT.","['IOT', 'INDUSTRIAL HUMAN MACHINE INTERFACE (HMI)', 'PORTABLE TEST & MEASUREMENT']"
MIOeDB,ADVANTECH,EPIC,True,12th/13th Gen. Intel® Core™,Up to 24 cores,Intel,Up to 65W,Up to 128 GB DDR5 5600,SATA,Single V DC,"['x DP', 'x PCIe', 'x miniPCIe', 'x SIM holder', 'x USB', 'x USB', 'x LPC', 'x SMBus', 'x IC', 'x HD Audio Line', 'x HD Audio Line', 'x HD Audio Mic', 'x SATA power', 'bit GPIO']",Not Available,"Windows 10 (64bit), Ubuntu 20.04.1/Kernel 5.11.0-27-generic x86_64 or above",60 C,-20 C,IPC-A-610 Class 3,The MIOeDB is an EPIC form factor evaluation board by Advantech with a single V DC input voltage. It features a SATA onboard storage and a variety of I/O interfaces.,"The MIOeDB is an evaluation board designed by Advantech. It follows the EPIC form factor and is equipped with a SATA onboard storage. The board operates at a single V DC input voltage and supports a wide range of I/O interfaces including DP, PCIe, miniPCIe, SIM holder, USB, LPC, SMBus, IC, HD Audio Line, and SATA power. It also features a bit GPIO. The operating temperature ranges from -20 C to 60 C.","The MIOeDB is an evaluation board designed by Advantech. It follows the EPIC form factor and is equipped with a SATA onboard storage. The board operates at a single V DC input voltage and supports a wide range of I/O interfaces including DP, PCIe, miniPCIe, SIM holder, USB, LPC, SMBus, IC, HD Audio Line, and SATA power. It also features a bit GPIO. The operating temperature ranges from -20 C to 60 C. The board is designed for flexible interface verification and expedite customers' carrier board development.","Interface verification, Carrier board development"
AGS,ADVANTECH,RACKMOUNT,False,X86,24 cores/32 threads,INTEL,W TDP,"DDR4 2133 MHz Non-ECC/ECC/REG, maximum 64 GB",16 GB eMMC NAND Flash,AC 100-240 V,"['USB 2.0 x 2, USB 3.0 x 2, PS/2, COM, VGA, RJ-45']",802.11 a/b/g/n/ac+BT5.0,"Windows 11 IoT Enterprise LTSC, Ubuntu",50 C,0 C,PLUS Platinum level certification,"Intel Xeon E5 v3 GPU server supporting multiple PCIe cards, with redundant power supply and PLUS Platinum level certification.","The AGS is a rackmount server from Advantech, powered by dual Intel Xeon E5 v3 processors. It supports DDR4 2133 MHz Non-ECC/ECC/REG memory up to 64 GB. The server features multiple PCIe slots for expansion, and comes with a redundant power supply certified to PLUS Platinum level. It operates between 0 and 50 degrees Celsius.","The AGS is a rackmount server from Advantech, powered by dual Intel Xeon E5 v3 processors. It supports DDR4 2133 MHz Non-ECC/ECC/REG memory up to 64 GB. The server features multiple PCIe slots for expansion, and comes with a redundant power supply certified to PLUS Platinum level. It operates between 0 and 50 degrees Celsius. The server also features multiple I/O interfaces including USB 2.0, USB 3.0, PS/2, COM, VGA, and RJ-45.","medical, AGV/AMR, industrial automation, self-service kiosks, edge AI"
ET INTEL ATOM XX PENTIUM CELERON COM EXPRESS TYPE R,Kontron,COM EXPRESS TYPE R,Commercialization,INTEL ATOM,dual,INTEL,10 W,ONBOARD LPDDR MEMORY,EMMC GB OPTIONAL,Not Available,['Not Available'],Not Available,Not Available,C,NN C,Not Available,"COM Express® basic, COM Express® compact, COM Express® mini - Kontron",The COM Express® pin-out Type 10 definition in the mini form factor (84 x 55mm) is well-suited to match the feature and performance requirements of the segments of the embedded market delivering ultra-small solutions. ... COM Express® compact Type 6 with Intel® Pentium® / Celeron® Processor N3000 Series. ... COM Express® mini Type 10 with ...,"AAEON offers a range of COM Express Modules including standardized COM form factors and our line of compact NanoCOM modules. AAEON COM Express Modules feature a range of Intel processors from the Intel Atom up to the latest Intel Core series. COM Express Modules from AAEON are built to operate in harsh environmental conditions, with some models able to operate in temperatures as low as -40°C to as hot as 85°C. From low power consumption to high performance processing power, AAEON COM Express Modules are built to suit a wide range of embedded computing applications from signal processing to unmanned vehicles and more.","Signal processing, unmanned vehicles and more"
NPi iMXULL Dev Board,WINSYSTEMS,Single Board Computer,False,ARM Cortex A,1,NXP,Not Available,512MB DDRL,512MB NAND,5V,"['2x M ethernet port', '1x USB Host', '1x USB OTG port', '1x 40-bit RGB LCD Interface', '1x 40-Pin IO expansion header']",Not Available,"['Debian', 'Ubuntu', 'Yocto']",+105,-40,"JEDEC JESD51-2, JEDEC JESD51-6, JEDEC JESD51-8, MIL SPEC-883 Method 1012.1",The NPi iMXULL Dev Board is a low power consumption Linux single board computer built around the powerful NXP iMXULL ARM Cortex A processor.,The NPi iMXULL Dev Board is a low power consumption Linux single board computer built around the powerful NXP iMXULL ARM Cortex A processor. It has onboard 512MB DDRL and 512MB NAND. It also has rich interfaces and IO resources.,"The NPi iMXULL Dev Board is a low power consumption Linux single board computer built around the powerful NXP iMXULL ARM Cortex A processor. It has onboard 512MB DDRL and 512MB NAND. It also has rich interfaces and IO resources. It supports Debian, Ubuntu, and Yocto operating systems. It is perfect for industrial control, rail transit, drone control, audio output, etc.","['Industrial control', 'Rail transit', 'Drone control', 'Audio output']"
FLEX SERIES CONFIGURATOR KIT,RIEKER INC,smaller solution with several mounting options,Commercialized,Not Available,Not Available,Not Available,Not Available,Not Available,USB Flash Drive,AC/DC V,['64 x 64 network I/O capacity'],Not Available,FlexwareTM Toolkit App,+85ºC,-40ºC,Not Available,The Flex Series Configurator Kit includes a USB Flash Drive with FlexwareTM Toolkit App and a USB Interface Cable. It allows user configuration of various parameters of the Flex Series inclinometers.,"The Flex Series Configurator Kit is a comprehensive package that includes a USB Flash Drive with the FlexwareTM Toolkit App and a USB Interface Cable. The kit allows users to configure various parameters of the Flex Series inclinometers, including mount orientation, measuring range, response rate, noise filtering, zero offset, sensor address, and output polarity. The kit does not include the Flex H Sensor, Flex Gateway telemetry, or an AC/DC V Wall Mount Adaptor.","The Flex Series Configurator Kit is a comprehensive package that includes a USB Flash Drive with the FlexwareTM Toolkit App and a USB Interface Cable. The kit allows users to configure various parameters of the Flex Series inclinometers, including mount orientation, measuring range, response rate, noise filtering, zero offset, sensor address, and output polarity. The kit does not include the Flex H Sensor, Flex Gateway telemetry, or an AC/DC V Wall Mount Adaptor. The software detects the sensor, allowing the user to reconfigure parameters. See the FlexwareTM Software User Guide for installation and configuration details.","smaller-scale installations across corporate, higher education, healthcare"
RCB,NEXCOBOT CO LTD,Mini-ITX,Commercialization,x86-64,4,Intel,28W,"Dual DDR4 SODIMMs, Maximum support 64GB",1 x SATA 3.0,"ATX 24-pin connector, 12V","['1x IAT GbE LAN, 2x USB, 1x VGA, 1x RS232, 1x HDMI, 1x PCIex16 Gen3, 1x miniPCIe, 1x SATA']",Not Available,NexRTOS,50 C,0 C,"['CE', 'FCC Class A', 'EN', 'EN']","RCB is a Mini-ITX form factor board designed for robotic control applications. It features rich IOs, including GbE LAN, USB, VGA, RS232, HDMI, PCIex16 Gen3, miniPCIe, and SATA. It supports Intel's 4th and next generation Core i3/i5/i7 and Celeron processors and has dual DDR4 SODIMMs with a maximum support of 64GB.","RCB600 is an industrial motherboard designed specifically for AMR applications. It comes equipped with a wide range of I/Os, essential protocols, high-performance AI computing capabilities, and a robust architecture. It is fully compatible with NexRTOS, a practical operating system that can help you build a smart factory with ease.","RCB600 is equipped with Tiger Lake-UP3 11th generation Intel® Core™ I processor, with high-performance AI computing capabilities, high-performance architecture x86-64 for ROS development and visual recognition applications. It supports real-time I/O for environmental sensors (CAN, GPIO, COM). The motherboard has rich IO interfaces, which can easily meet the diversified needs of robots. It supports 0~60 °C extended operating temperature and has a 24V DC input.",Robot control
ET COM EXPRESS,IBASE,COM Express Type,Not Available,Intel Core,Not Available,Intel,Not Available,"DDR SODIMM, Max 64GB",eMMC 64GB,3V to 80V,"['x USB 3.0', 'x USB 2.0', 'x COM', 'x SATAIII', 'x PCIEx16', 'x PCIEx1']",Not Available,Linux and Windows 10,85°C,-40°C,Not Available,ET COM Express is a 5th Generation Intel Core Useries Processor with DDR SODIMM memory and eMMC 64GB storage.,"ET COM Express is a 5th Generation Intel Core Useries Processor with DDR SODIMM memory and eMMC 64GB storage. It supports DDI, VGA, and has multiple I/O interfaces including USB, COM, SATAIII, and PCIEx.","ET COM Express is a 5th Generation Intel Core Useries Processor with DDR SODIMM memory and eMMC 64GB storage. It supports DDI, VGA, and has multiple I/O interfaces including USB, COM, SATAIII, and PCIEx. It is manufactured by IBASE and has a form factor of COM Express Type.","IoT, industrial automation, and transportation applications"
