name,ids,manufacturer,form_factor,processor,core_count,processor_tdp,memory,io,operating_system,environmentals,certifications,short_summary,full_summary,full_product_description
EmQiA,EmQ-i240A-N3350-8G,ARBOR Technology,Qseven R ATX form factor,"Intel Pentium N, Celeron N, Atom xE",Not available,Not available,Soldered onboard LPDDR4 8GB,"USB ports, PCIex lanes, IC Interface, Serial ATA ports, Intel Ethernet controller ix series","Windows 10, Linux Ubuntu","Operating Temp: -40°C to 85°C, Operating Humidity: 5% to 95% non-condensing",Not available,"EmQiA Qseven R CPU module with Intel Pentium N, Celeron N, Atom xE processors and 8GB LPDDR4 memory.","The EmQiA Qseven R CPU module features soldered onboard Intel Apollolake SoC processors including Intel Pentium N, Celeron N, and Atom xE models. It includes integrated Gigabit Ethernet, dual-channel 18-bit LVDS, and multiple I/O interfaces. The module supports Windows 10 and Linux Ubuntu operating systems.","The EmQiA Qseven R CPU module is designed with soldered onboard Intel Apollolake SoC processors, offering options such as Intel Pentium N, Celeron N, and Atom xE. It comes with 8GB of LPDDR4 memory and integrated Gigabit Ethernet. The module supports dual-channel 18-bit LVDS and various I/O interfaces including USB ports, PCIex lanes, and Serial ATA ports. It is compatible with Windows 10 and Linux Ubuntu operating systems. The environmental specifications include an operating temperature range of -40°C to 85°C and operating humidity of 5% to 95% non-condensing."
EmQv VIA Nano Qseven CPU Module,EmQ-v900,VIA,70mm x 70mm,VIA Nano U GHz,QuadCore,27.5 watts,Soldered onboard 1GB DDR2 SDRAM,"4 USB host ports, 1 USB client port, 2 Serial ATA ports, PCIe x4 Gen 2 lanes, LPC interface, SDIO","Windows 10 IoT, Windows 10, 8.1, 8, 7, Windows Embedded Standard 7, Linux distributions","Operating Temp: -20°C to 70°C, Operating Humidity: 0% to 90% non-condensing",Microsoft Azure Certified for IoT,"EmQv VIA Nano Qseven CPU Module with integrated Gigabit Ethernet, onboard VIA Nano U processor, and 1GB DDR2 SDRAM.","The EmQv VIA Nano Qseven CPU Module features an integrated Gigabit Ethernet, soldered onboard VIA Nano U processor, and 1GB DDR2 SDRAM. It supports single channel 18-bit LVDS, DisplayPort, RAID, and extended operating temperatures.","The EmQv VIA Nano Qseven CPU Module is designed for embedded applications, featuring a soldered onboard VIA Nano U GHz processor and 1GB DDR2 SDRAM. It includes integrated Gigabit Ethernet, supports single channel 18-bit LVDS, DisplayPort, RAID, and has extended operating temperature ranges from -20°C to 70°C. The module offers various I/O interfaces including 4 USB host ports, 1 USB client port, 2 Serial ATA ports, PCIe x4 Gen 2 lanes, LPC interface, and SDIO. The dimensions of the module are 70mm x 70mm."
Embedded Automation Computer,"UNO-2174G-C54E,UNO-1110-R11AE",Advantech,W x D x H: 210 x 150 x 60 mm,"Intel Celeron E1500 2.2 GHz, Intel Celeron 1047UE 1.4 GHz, Intel Core i3-3217UE 1.6 GHz, Intel Core i7-3517LE 2.0 GHz",4,Not available,Built-in 4 GB DDR3 SODIMM,"6 x RS-232/422/485, 2 x RS-232, 4 x USB 2.0, 2 x USB 3.0, 2 x Gigabit Ethernet, 1 x DVI-I, 1 x DP, 1 x HDMI, Audio: Mic-in, Line-out, Line-in","Windows XP, WES7, WES8, Linux","Operating Temperature: -20 to 60°C (-4 to 140°F), Storage Temperature: -40 to 85°C (-40 to 185°F), Humidity: 95% @ 40°C (non-condensing), Shock Protection: IEC 60068-2-27, Vibration Protection: IEC 60068-2-64","CE, UL, CCC, FCC, CTick, BSMI","High-performance embedded automation computer with Intel processors, multiple I/O interfaces, and robust environmental protections.","The Embedded Automation Computer features high-performance Intel processors, extensive I/O interfaces including multiple USB, RS-232/422/485, Gigabit Ethernet, and display ports. It supports various operating systems and offers robust environmental protections, making it suitable for demanding industrial applications.","The Embedded Automation Computer is designed for high-performance industrial applications. It is equipped with Intel Celeron and Core processors, built-in 4 GB DDR3 memory, and a variety of I/O interfaces including 6 x RS-232/422/485, 2 x RS-232, 4 x USB 2.0, 2 x USB 3.0, 2 x Gigabit Ethernet, 1 x DVI-I, 1 x DP, 1 x HDMI, and audio ports. The system supports Windows XP, WES7, WES8, and Linux operating systems. It is built to withstand harsh environments with operating temperatures ranging from -20 to 60°C, storage temperatures from -40 to 85°C, and humidity up to 95% at 40°C (non-condensing). The computer is certified with CE, UL, CCC, FCC, CTick, and BSMI standards, ensuring reliability and safety in industrial settings."
Embedded Box PC,ARK-3405R-S6A1E,Advantech,Wide x Height x Depth: 230 x 70 x 175 mm,Intel Celeron N,Quad Core,Not available,"DDR3L 1333 MHz, Max Capacity 8 GB, Socket x 1, 204-pin SODIMM","VGA, DVI-D, HDMI, 2x LAN, 4x USB 3.0, 2x USB 2.0, 4x RS-232/422/485, 8-bit digital I/O, Mic-in, Line-out","Microsoft Windows 10, Windows 8, Windows 7, Windows Embedded Standard 7, Windows Embedded Standard 8, Linux","Operating Temperature: -20°C to 60°C, Storage Temperature: -40°C to 85°C, Relative Humidity: 95% @ 40°C (non-condensing), Vibration: 3 Grms, Shock: 50G","CE, FCC Class A, CCC, BSMI, CB, UL, RoHS","Fanless Embedded Box PC with Intel Celeron N processor, rich expansion options, and dual removable HDD drive bays.","The Embedded Box PC features an Intel Celeron N processor, fanless design, rich expansion options including dual removable HDD drive bays, and supports triple independent displays via VGA, DVI-D, and HDMI. It is compatible with Advantech iDoor modules and supports a wide range of operating systems.","The Embedded Box PC by Advantech is equipped with an Intel Celeron N quad-core processor and supports up to 8 GB of DDR3L memory. It features a fanless design, dual removable HDD drive bays, and a variety of I/O interfaces including VGA, DVI-D, HDMI, LAN, USB, and serial ports. The system supports triple independent displays and is compatible with Advantech iDoor modules for flexible expansion. It operates in a wide temperature range and is certified with CE, FCC, CCC, BSMI, CB, UL, and RoHS standards. The system is suitable for various industrial applications and supports multiple operating systems including Windows and Linux."
Embedded Graphic Card,GFX-A5T7-90FMT1,Advantech,ATX 111 mm x 111 mm,AMD Radeon E9171,eight Xe-cores,35 W,4 GB GDDR5,"Dual-Link DVI-I, Single-Link DVI-I","Windows, Linux",Not available,Not available,High performance multi-display embedded graphic card with AMD Radeon E9171 GPU.,"Advantech's Embedded Graphic Card features the AMD Radeon E9171 GPU, providing high performance and multi-display capabilities in a compact ATX form factor. It supports DirectX 12, OpenGL 4.5, and OpenCL 2.0, making it suitable for various industrial applications.","Advantech's Embedded Graphic Card is designed to meet the demands of industrial applications, offering a high-performance AMD Radeon E9171 GPU with a 35 W TDP. The card supports multiple display interfaces including Dual-Link DVI-I and Single-Link DVI-I, and comes with 4 GB of GDDR5 memory. It is compatible with both Windows and Linux operating systems, ensuring broad usability. The product is available in both fansink and fanless versions, providing flexibility for different cooling requirements."
Embedded IPC,"ARK-1503P-D6A1E,ARK-3400F-S5A1E",Advantech,"Extremely compact sealed construction, 231 x 64 x 108 mm",Intel Atom D525,2,"10 to 13 Watts (maximum), 4 to 4.8 Watts (idle)","Single channel DDR3 800 MHz, Up to 4 GB","2x RS-232, 2x RS-232/422/485, 6x USB 2.0, 1x VGA, 1x LVDS, 2x LAN, 1x Line-out, 1x DIO","Microsoft Windows XP Professional, XP Embedded","Operating Temperature: -20°C to 60°C with industrial HDD, -20°C to 70°C with extended temperature peripherals; Storage Temperature: -40°C to 85°C; Relative Humidity: 95% @ 40°C non-condensing; Vibration: 2 Grms; Shock: 50 G","CE, FCC Class A, BSMI, CCC, KCC, UL, RoHS COMPLIANT","Fanless Embedded IPC with Intel Atom D525, compact design, multiple I/O interfaces, and support for various operating systems.","The Embedded IPC is a fanless, compact industrial PC powered by an Intel Atom D525 processor. It supports multiple I/O interfaces including RS-232, USB, LAN, and VGA. The system is designed for harsh environments with a wide operating temperature range and various certifications.","The Embedded IPC features a fanless design with an Intel Atom D525 processor running at 1.8 GHz. It supports up to 4 GB of DDR3 memory and offers a variety of I/O interfaces including 2x RS-232, 2x RS-232/422/485, 6x USB 2.0, 1x VGA, 1x LVDS, 2x LAN, 1x Line-out, and 1x DIO. The system is housed in an aluminum casing and is designed for desk or wall mounting. It operates in temperatures ranging from -20°C to 60°C with an industrial HDD and up to 70°C with extended temperature peripherals. The IPC is compliant with CE, FCC Class A, BSMI, CCC, KCC, UL, and RoHS standards."
Embedded SBC,"CAPA322-x6413E-A,CAPA55RPHGG-i3-1115G4E WslashFAN",Axiomtek,"146 x 104 mm, Board Thickness 1.6 mm","Intel Celeron Processor N3350, Intel Atom x5-E3940",quad-core,6W,"DDR3L SODIMM, Up to 8GB","2x HDMI, 1x DisplayPort, 1x LVDS, 1x eDP (optional), 2x GbE LAN, 4x USB 3.0, 2x USB 2.0, 2x RS-232, 1x RS-422/485, 1x SATA, 1x mSATA, 1x PCIe Mini Card",Not available,"Operating Temperature: -20°C to 70°C (-4°F to 158°F) for Intel Celeron, -40°C to 85°C (-40°F to 185°F) for Intel Atom x5-E3940, Humidity: 10% to 95% relative humidity, non-condensing",CE,"Axiomtek Embedded SBC with Intel Celeron and Atom processors, multiple display interfaces, and extensive I/O options.","The Axiomtek Embedded SBC features Intel Celeron and Atom processors, supporting up to 8GB DDR3L SODIMM memory. It offers multiple display interfaces including HDMI, DisplayPort, LVDS, and optional eDP. The board includes dual GbE LAN, multiple USB ports, and expansion options with PCIe Mini Card and mSATA. It is designed for a wide range of operating temperatures and high humidity environments.","Axiomtek's Embedded SBC is equipped with Intel Celeron and Atom processors, providing robust performance for embedded applications. The board supports up to 8GB of DDR3L SODIMM memory and features a variety of display interfaces such as HDMI, DisplayPort, LVDS, and optional eDP. It includes dual GbE LAN ports, multiple USB 3.0 and 2.0 ports, and serial communication options. Expansion is facilitated through PCIe Mini Card and mSATA slots. The SBC is designed to operate in extreme temperatures and high humidity conditions, making it suitable for industrial and embedded applications."
Embedded SBC AMD Ryzen,"CAPA13S-GGA-V1605B Fan,CAPA13RPHGG-V1807B wslashfan",Axiomtek,146 x 102 mm,AMD Ryzen Embedded V1605B,4,25W,DDR4 SODIMM 32GB,"2x DisplayPort, 1x HDMI, 1x eDP, 2x GbE LAN, 4x USB 3.1 Gen1, 2x USB 2.0, 2x RS-232/422/485, 1x SATA",Not available,"Operating Temperature: -20°C to 60°C, Humidity: 10% to 95% relative humidity, non-condensing",TPM 2.0 compliant,"Embedded SBC with AMD Ryzen V1605B APU, supporting multiple display interfaces and extensive I/O options.","The Axiomtek Embedded SBC features the AMD Ryzen Embedded V1605B APU, providing robust performance with a quad-core processor and integrated Radeon RX Vega graphics. It supports up to 32GB DDR4 SODIMM memory and offers a variety of I/O interfaces including DisplayPort, HDMI, eDP, GbE LAN, USB, and serial ports. Designed for industrial applications, it operates in a wide temperature range and supports TPM 2.0 for enhanced security.","The Axiomtek Embedded SBC with AMD Ryzen V1605B APU is a high-performance single board computer designed for industrial applications. It features a quad-core processor with integrated Radeon RX Vega graphics, supporting up to 32GB of DDR4 SODIMM memory. The board offers extensive I/O options including 2x DisplayPort, 1x HDMI, 1x eDP, 2x GbE LAN, 4x USB 3.1 Gen1, 2x USB 2.0, and 2x RS-232/422/485 ports. It also includes a SATA interface for storage expansion. The SBC is designed to operate in harsh environments with an operating temperature range of -20°C to 60°C and supports TPM 2.0 for secure computing."
Embedded Single Board Computer,"PCM-9562Z2-1GS6A1E,PCM-9563NF-S2A2,PCM-9563N-S1A1E,PCM-9563NF-S2A1E,PCM-9365NZ24GS8A1E,PCM-9362NZ-1GS6A1E,MIO-3260C-S8A2,PCM-261T-A0A1E,PCM-9375FZ-J0A1E,PCM-9365N-4GS8A1E,PCM-3365N-S8A2",Advantech,EBX,Intel Atom N450/D510,Single Core/Dual Core,5.5 W,"DDR2 667 MHz, Max Capacity 2 GB, 200-pin SODIMM","Ethernet, USB, Serial, VGA, LVDS, Audio, GPIO, SMBus, PCI Slot, Mini PCIe","Windows XP Embedded, Windows CE, QNX, VxWorks, Linux, Ubuntu","Operating Temperature: 0°C to 60°C, Operating Humidity: 40°C @ 85% RH non-condensing, Non-Operating Temperature: -40°C to 85°C, Non-Operating Humidity: 60°C @ 95% RH non-condensing",UL Compliant,"Embedded Single Board Computer with Intel Atom processor, supporting various I/O interfaces and operating systems.","The Embedded Single Board Computer features an Intel Atom processor, available in single or dual core configurations. It supports DDR2 memory up to 2 GB, and offers a variety of I/O interfaces including Ethernet, USB, Serial, VGA, LVDS, Audio, GPIO, and SMBus. The board is UL compliant and supports multiple operating systems including Windows XP Embedded, Windows CE, QNX, VxWorks, and Linux.","The Embedded Single Board Computer is designed for embedded applications, featuring an Intel Atom N450 or D510 processor. It supports DDR2 667 MHz memory with a maximum capacity of 2 GB using a 200-pin SODIMM socket. The board includes a variety of I/O interfaces such as Ethernet, USB, Serial, VGA, LVDS, Audio, GPIO, and SMBus. It is UL compliant and supports multiple operating systems including Windows XP Embedded, Windows CE, QNX, VxWorks, and Linux. The board is designed to operate in temperatures ranging from 0°C to 60°C and can withstand non-operating temperatures from -40°C to 85°C."
Embedded Single Board Computer PCM A,PCM-9375FZ2-J0A3,Advantech,96 x 115 mm,AMD Geode LX 800 MHz,Single Core,7~8 Watts,"DDR 400 MHz, 1 GB max","Dual 10/100 Mbps Ethernet, 4 COM ports, 4 USB ports, VGA, LVDS, IDE, GPIO, Audio","VxWorks, WinCE, WinXPE, WES","Operational: 0°C to 60°C, Storage: -40°C to 85°C",Not available,"Embedded Single Board Computer with AMD Geode LX 800 MHz processor, DDR 400 MHz memory, dual Ethernet, and multiple I/O interfaces.","The PCM A is an embedded single board computer featuring an AMD Geode LX 800 MHz processor, DDR 400 MHz memory, dual 10/100 Mbps Ethernet, and multiple I/O interfaces including 4 COM ports, 4 USB ports, VGA, LVDS, IDE, GPIO, and Audio. It supports various operating systems including VxWorks, WinCE, WinXPE, and WES. The board is designed for operational temperatures ranging from 0°C to 60°C and storage temperatures from -40°C to 85°C.","The PCM A embedded single board computer is powered by an AMD Geode LX 800 MHz processor and supports up to 1 GB of DDR 400 MHz memory. It features dual 10/100 Mbps Ethernet ports, 4 COM ports, 4 USB ports, VGA, LVDS, IDE, GPIO, and Audio interfaces. The board supports various operating systems including VxWorks, WinCE, WinXPE, and WES. It is designed to operate in temperatures ranging from 0°C to 60°C and can be stored in temperatures from -40°C to 85°C. The PCM A is ideal for applications requiring low power consumption and fanless operation."
Embedded Vision Portfolio,108024,Basler AG,system-on-modules (SOMs),"NVIDIA Jetson, NXP iMX series",Not available,Not available,"32GB 256-bit LPDDR5, 64GB","MIPI CSI, USB interface",Not available,Not available,Not available,"Basler's Embedded Vision Portfolio offers cameras, camera modules, and complete development kits for rapid prototyping and embedded applications.","Basler's Embedded Vision Portfolio includes a wide range of cameras, camera modules, and development kits designed for rapid prototyping and embedded applications. The portfolio supports common processors like NVIDIA Jetson and NXP iMX series, and offers easy integration with open-source software.","Basler's Embedded Vision Portfolio provides a comprehensive range of products for embedded vision applications. It includes cameras, camera modules, and complete development kits that facilitate rapid prototyping. The portfolio supports common processors such as NVIDIA Jetson and NXP iMX series, and offers easy integration with open-source software. Basler's embedded vision products ensure smooth and efficient application performance, reducing system costs and development time. The portfolio also includes various interfaces like MIPI CSI and USB, making it suitable for a wide range of embedded processing platforms."
Evaluation Kit,MAX17645DEVKITB#,Analog Devices,Surface-mount PCB,Zynq™ UltraScale+™ MPSoC,"quad-core Arm® Cortex®-A53, dual-core Cortex-R5F",Not available,PS DDR4: 4GB 64-bit SODIMM,"SD-Card: Yes, M.2 SATA Connector: Yes",Linux,-40°C to +125°C,"CISPR, EN Class B",Evaluation kits for MAX V output voltage application.,"The MAXBEVKITB and MAXDEVKITB evaluation kits provide proven designs to evaluate the performance of MAXB and MAXD high-efficiency, high-voltage synchronous step-down DC-DC converters. They support a wide operating input range of 4.5V to 60V and are configured for a 5V output, delivering up to 3A with a switching frequency of 220kHz.","The MAXBEVKITB and MAXDEVKITB evaluation kits (EV kits) provide proven designs to evaluate the performance of MAXB and MAXD high-efficiency, high-voltage synchronous step-down DC-DC converters. The MAXBEVKITB EV kit operates in constant frequency PWM mode for heavy loads, while the MAXDEVKITB EV kit operates in PFM mode for light loads to improve efficiency. The EV kits are configured to demonstrate optimum performance and component sizes for the MAXB and MAXD converters. They support a wide operating input range of 4.5V to 60V and are configured for a 5V output. The EV kits deliver up to 3A with a switching frequency of 220kHz. Features include adjustable input undervoltage lockout, fixed internal soft-start, open-drain RESET signal, and output voltage status monitoring. The EV kits also provide a good layout example optimized for conducted and radiated EMI and thermal performance."
ExpressADP,Express-ADP-i7-1265UE,ADLINK Technology,"PICMG COM Rev 3.0 Type 6, Basic size 125mm x 95mm",12th Gen Intel Core processors (Alder Lake-P),Up to 14 cores (6 P-cores + 8 E-cores),Up to 45W,"Up to 64GB DDR4 SODIMM, 3200 MT/s, non-ECC","4x USB 3.2, 8x USB 2.0, 4x SATA 6Gb/s, PCIe Gen 4, PCIe Gen 3, GbE, UART, GPIO","Windows 10 IoT Enterprise LTSC, Ubuntu 20.04 LTS, Yocto Project-based Linux, VxWorks","Operating Temperature: -40°C to 85°C, Storage Temperature: -40°C to 85°C, Humidity: 95% RH operating, non-condensing","IEC 60068-2-1, IEC 60068-2-2, MIL-STD-810F","ExpressADP is a COM Express Type 6 module based on Intel Alder Lake-P platform, offering high performance with hybrid architecture and extensive I/O options.","The ExpressADP is a COM Express Type 6 module featuring Intel's 12th Gen Alder Lake-P processors. It supports up to 64GB DDR4 memory, multiple I/O interfaces including USB 3.2, SATA, PCIe Gen 4, and GbE. It is designed for high performance and reliability in harsh environments, with operating temperatures ranging from -40°C to 85°C.","The ExpressADP COM Express Type 6 module is built on the Intel Alder Lake-P platform, offering a hybrid architecture with up to 14 cores (6 P-cores and 8 E-cores). It supports up to 64GB of DDR4 SODIMM memory at 3200 MT/s and provides extensive I/O options including USB 3.2, SATA 6Gb/s, PCIe Gen 4, and GbE. The module is designed for use in harsh environments, with an operating temperature range of -40°C to 85°C and compliance with IEC and MIL-STD-810F standards. It supports multiple operating systems including Windows 10 IoT Enterprise LTSC, Ubuntu 20.04 LTS, Yocto Project-based Linux, and VxWorks."
ExpressBD,Express-BD74-D1559,ADLINK Technology,Basic size 125 mm x 95 mm,Intel Xeon D SoC,4 to 16 cores,35W to 65W,"Dual channel DDR4 2133 MHz ECC memory, up to 64 GB","4x USB 3.0, 4x USB 2.0, 2x SATA 6 Gb/s, 1x PCIe x16 Gen3, 1x PCIe x4 Gen3, 1x PCIe x1 Gen2, 2x 10 GbE, 1x GbE","Windows 10 64-bit, Windows Server 2016 64-bit, Linux 64-bit","Operating Temperature: -40°C to 85°C (Extreme Rugged), 0°C to 60°C (Standard); Humidity: 95% RH operating, non-condensing","IEC 60068-2-27, IEC 60068-2-64, MIL-STD-810F","ExpressBD is a COM Express Basic Size Type 7 module featuring Intel Xeon D SoC with up to 16 cores, dual channel DDR4 memory, and extensive I/O options.","The ExpressBD is a high-performance COM Express Basic Size Type 7 module powered by Intel Xeon D SoC, offering up to 16 cores and dual channel DDR4 memory. It supports a wide range of I/O interfaces including USB, SATA, PCIe, and Ethernet, making it suitable for various embedded applications. The module is available in standard and extreme rugged versions, supporting operating temperatures from -40°C to 85°C.","The ExpressBD COM Express Basic Size Type 7 module from ADLINK Technology is designed for high-performance embedded applications. It features the Intel Xeon D SoC with up to 16 cores, dual channel DDR4 2133 MHz ECC memory, and a variety of I/O interfaces including 4x USB 3.0, 4x USB 2.0, 2x SATA 6 Gb/s, 1x PCIe x16 Gen3, 1x PCIe x4 Gen3, 1x PCIe x1 Gen2, 2x 10 GbE, and 1x GbE. The module supports a wide range of operating systems including Windows 10 64-bit, Windows Server 2016 64-bit, and Linux 64-bit. It is available in both standard and extreme rugged versions, with operating temperatures ranging from -40°C to 85°C and humidity up to 95% RH operating, non-condensing. The ExpressBD also includes advanced features such as Intel VT, Intel HT Technology, Intel Turbo Boost Technology, and various security technologies. It is certified to IEC 60068-2-27, IEC 60068-2-64, and MIL-STD-810F standards."
ExpressCFR,Express-CFR-E-2276ML,ADLINK Technology,Basic size 125 mm x 95 mm,"Mobile 8th Generation Intel Xeon, Core, Pentium, Celeron Processors","Hexacore, Quadcore","Varies by SKU (e.g., Xeon E-2176M: 45W, Core i7-8850H: 45W)","Up to 96GB DDR4 2666 MHz, three SODIMM sockets","Three DDI channels, one LVDS, VGA, eDP, One PCIe x16 Gen 3, eight PCIe x1 Gen 3, NVMe SSD, Intel Optane Memory Technology support, GbE, four SATA 6Gb/s, four USB 3.1, four USB 2.0","Windows 10 64-bit, Linux 64-bit, VxWorks 64-bit","Operating Temperature: Standard 0°C to 60°C, Extreme Rugged -40°C to 85°C (selected SKUs), Humidity: 95% RH operating (non-condensing), 95% RH storage (non-condensing)","IEC 60068-2-27, IEC 60068-2-64, MIL-STD-810F Method 516.5, Method 514.5","ExpressCFR is a COM Express Basic Size Type 6 module featuring 8th Gen Intel Xeon, Core, Pentium, and Celeron processors, supporting up to 96GB DDR4 memory and various I/O interfaces.","The ExpressCFR is a high-performance COM Express Basic Size Type 6 module designed by ADLINK Technology. It supports 8th Gen Intel Xeon, Core, Pentium, and Celeron processors, offering up to 96GB DDR4 memory across three SODIMM sockets. The module includes a variety of I/O interfaces such as three DDI channels, one LVDS, VGA, eDP, PCIe, NVMe SSD, Intel Optane Memory Technology support, GbE, SATA, and USB ports. It is suitable for rugged environments with an operating temperature range from 0°C to 60°C, and an extreme rugged option from -40°C to 85°C.","The ExpressCFR from ADLINK Technology is a COM Express Basic Size Type 6 module that integrates 8th Generation Intel Xeon, Core, Pentium, and Celeron processors. It supports up to 96GB of DDR4 2666 MHz memory through three SODIMM sockets. The module features extensive I/O options including three DDI channels, one LVDS, VGA, eDP, one PCIe x16 Gen 3, eight PCIe x1 Gen 3, NVMe SSD, Intel Optane Memory Technology support, GbE, four SATA 6Gb/s, four USB 3.1, and four USB 2.0 ports. It is equipped with Intel HD Audio, supports Intel AMT, and includes various expansion buses such as LPC, SMBus, and GPIO. The ExpressCFR is designed for rugged applications with standard operating temperatures from 0°C to 60°C and an extreme rugged option from -40°C to 85°C. It complies with IEC 60068-2-27, IEC 60068-2-64, and MIL-STD-810F standards for shock and vibration. The module is compatible with Windows 10 64-bit, Linux 64-bit, and VxWorks 64-bit operating systems."
ExpressID COM Express Basic Size Type Module,Express-ID7-D-1712TR,ADLINK Technology,Basic size 125mm x 95mm,Intel Xeon D,10,65W - 100W,"Triple channel 2933 MT/s ECC/non-ECC DDR4 memory, up to 128GB, four SODIMM sockets","4x USB 3.0, 8x USB 2.0, 4x SATA 6Gb/s, PCIe Gen 3 lanes, PCIe Gen 4 lanes, 2x 10G Ethernet, 1x GbE connection","Windows Server, Windows IoT Enterprise LTSC, Yocto Linux, VxWorks","Operating Temperature: -40°C to 85°C (Extreme Rugged), Storage Temperature: -40°C to 85°C, Humidity: 95% RH operating non-condensing, Shock: IEC 60068-2-27, Vibration: IEC 60068-2-64, MIL-STD-810F",Not available,"ExpressID COM Express Basic Size Type Module with Intel Xeon D SoC, supporting up to 128GB DDR4 memory, multiple I/O interfaces, and extreme rugged operating temperatures.","The ExpressID COM Express Basic Size Type Module features the new generation Intel Xeon D SoC, supporting AVX-512, VNNI for AI inference, and data analysis. It offers up to 128GB DDR4 memory, multiple I/O interfaces including PCIe Gen 3 and Gen 4 lanes, USB, SATA, and Ethernet. The module is designed for extreme rugged environments with operating temperatures ranging from -40°C to 85°C.","The ExpressID COM Express Basic Size Type Module from ADLINK Technology is equipped with the new generation Intel Xeon D processor, formerly known as Ice Lake-D. It supports advanced features such as AVX-512, VNNI for AI inference, and data analysis. The module can accommodate up to 128GB of triple-channel DDR4 memory with ECC/non-ECC support, distributed across four SODIMM sockets. It provides extensive I/O options including 4x USB 3.0, 8x USB 2.0, 4x SATA 6Gb/s, and multiple PCIe Gen 3 and Gen 4 lanes. Networking capabilities include 2x 10G Ethernet and 1x GbE connection. The module is built to withstand extreme rugged conditions with an operating temperature range of -40°C to 85°C, making it suitable for harsh industrial environments. Additional features include support for various operating systems such as Windows Server, Windows IoT Enterprise LTSC, Yocto Linux, and VxWorks. The module also includes advanced security and management features, making it a versatile solution for a wide range of applications."
Extended ATX Server Board,IMB-S90,ADLINK Technology,"Extended ATX, 305mm x 330mm",Dual Intel Xeon E5-2600 v3 Family,Not available,Up to 120W,"Dual-Channel DDR4 2133MHz, 8x DIMM sockets, up to 512GB, ECC registered DIMMs, non-ECC unbuffered DIMMs","6x SATA 6Gb/s, 2x SATA 3Gb/s, 6x PCIe x16 Gen3, 1x PCIe x4 Gen2, 4x USB 3.0, 4x USB 2.0, 2x RS-232, VGA, Dual Intel GbE","Microsoft Windows Server 2012 R2 64-bit, Microsoft Windows 7 64-bit, RedHat Enterprise Linux","Operating Temp: 0°C to 55°C, Storage Temp: -40°C to 70°C, Relative Humidity: 5% to 95% non-condensed","CE, FCC Class A","Extended ATX server board with dual Intel Xeon E5-2600 v3 family processors, supporting up to 512GB DDR4 memory, multiple PCIe slots, and extensive I/O interfaces.","The Extended ATX server board from ADLINK Technology supports dual Intel Xeon E5-2600 v3 family processors, offering robust performance for server applications. It features 8 DIMM sockets for up to 512GB of DDR4 memory, multiple PCIe slots for expansion, and a variety of I/O interfaces including SATA, USB, and Ethernet. The board is designed for reliability with support for ECC memory and remote management capabilities.","The ADLINK Technology Extended ATX server board is designed for high-performance server applications. It supports dual Intel Xeon E5-2600 v3 family processors and up to 512GB of DDR4 memory across 8 DIMM sockets. The board includes multiple PCIe slots (6x PCIe x16 Gen3, 1x PCIe x4 Gen2) for extensive expansion options. I/O interfaces include 6x SATA 6Gb/s, 2x SATA 3Gb/s, 4x USB 3.0, 4x USB 2.0, 2x RS-232, VGA, and dual Intel GbE ports. The board is equipped with IPMI 2.0 for remote management and supports various operating systems including Microsoft Windows Server 2012 R2 64-bit, Microsoft Windows 7 64-bit, and RedHat Enterprise Linux. Environmental specifications include an operating temperature range of 0°C to 55°C and storage temperature range of -40°C to 70°C, with relative humidity support from 5% to 95% non-condensed. Certifications include CE and FCC Class A."
FETAC SoM,FORLINX-OK1028A-C+152GOE16M8GIA12I21,Variscite,SODIMM,NXP LSA,Dual-core,Not available,4 GB DDR4,"Gigabit Ethernet, TSN, CAN FD, USB, UART, SPI, IIC, LVDS, TF card slot, SATA, Headphone, DP support",Ubuntu,Working Temp: -40°C to 85°C,Not available,"FETAC SoM is a system module based on Cortex-A featuring a dual-core processor, 4 GB DDR4 RAM, and various I/O interfaces.","FETAC SoM is a system module featuring a dual-core Cortex-A processor, 4 GB DDR4 RAM, and 8 GB eMMC. It supports Gigabit Ethernet, TSN, CAN FD, USB, UART, SPI, IIC, LVDS, TF card slot, SATA, and headphone peripherals. It is suitable for industrial applications such as routers, edge computing, and smart transportation.","FETAC SoM is a versatile system module based on the Cortex-A architecture, featuring a dual-core NXP LSA processor running at 1.5 GHz. It includes 4 GB DDR4 RAM and 8 GB eMMC storage. The module supports a wide range of I/O interfaces including Gigabit Ethernet with TSN, CAN FD, USB, UART, SPI, IIC, LVDS, TF card slot, and SATA. It also supports DP for 4K display output. The module is designed for industrial applications such as routers, edge computing, smart transportation, and power management. It operates on Ubuntu OS and can handle a wide temperature range from -40°C to 85°C."
