product_id,name,manufacturer,form_factor,evaluation_or_commercialization,processor_architecture,processor_core_count,processor_manufacturer,processor_tdp,memory,onboard_storage,input_voltage,io_count,wireless,operating_system_bsp,operating_temperature_max,operating_temperature_min,certifications,short_summary,full_summary,full_product_description,target_applications,duplicate_ids
PCA-6742VE-00A1E,PCA SERIES HALFSIZE CPU CARD,ADVANTECH,HALFSIZE,True,x86,Dual-core,Intel,,512 MB DDR,Supports CompactFlash Type III,"5V, 12V","['1 RS-232', '1 RS-422/485', '2 USB ports', '1 Parallel port', '1 Infrared port']",,,60°C,0°C,FCC Part 15,"The PCA Series Halfsize CPU Card by Advantech features onboard DDR memory, multiple I/O interfaces, and supports CompactFlash storage.","Advantech's PCA Series Halfsize CPU Card is designed for embedded applications, offering a range of I/O interfaces including RS-232, RS-422/485, USB, and parallel ports. It supports CompactFlash storage and operates within a temperature range of 0°C to 60°C.","The PCA Series Halfsize CPU Card from Advantech is equipped with 512 MB DDR memory and supports additional memory up to 1 GB. It includes a variety of I/O options such as RS-232, RS-422/485, USB, and parallel ports, along with an infrared port. The card is designed for robust performance in industrial environments, with a power supply requirement of 5V and 12V, and compliance with FCC Part 15 standards.","Industrial automation, embedded systems, and evaluation purposes.",['PCA-6742VE-00A1E']
HCA01-0000-20-3,COMHCAAP,KONTRON,COM HPC,False,x86,Up to 14 cores,INTEL,15 to 45W,Up to 64 GByte DDR4 SODIMM,Optional NVMe SSD,12V to 24V,['400-pin high-speed connector'],,"['Windows', 'Linux', 'VxWorks']",60°C,0°C,,COM HPC Client module with Intel Core processors and optional NVMe SSD.,"The COMhcaAP is a COM HPC Client module featuring Intel's latest generation Core processors, supporting up to 64 GByte DDR4 memory, and optional NVMe SSD for storage. It is designed for commercial applications with a wide range of input voltage and operating temperature.","The COMhcaAP module is built on the COM HPC standard, offering a compact and powerful solution for embedded applications. It supports Intel's latest generation Core processors, up to 64 GByte DDR4 SODIMM memory, and optional NVMe SSD storage. The module is equipped with Intel Iris Xe Graphics, multiple I/O options, and supports various operating systems including Windows, Linux, and VxWorks. It is suitable for commercial use with an operating temperature range of 0°C to 60°C.","Embedded systems, industrial automation, and commercial computing applications.","['HCA01-0000-20-3', 'HCA01-0000-30-3', 'HCA01-0000-50-5', 'HCA01-0000-60-5', 'HCA01-0000-70-7', 'HCA01-0000-80-7']"
N93_SMARC_SOM_2R16E,NITROGEN SMARC,LAIRD CONNECTIVITY,SMARC,False,ARM,2,NXP,,4GB LPDDR4,16GB eMMC,5V,"['4x USB', '2x Gbit Ethernet', '2x CAN/CANFD', '4x UART', '2x I2C', '2x SPI', '1x SDIO', '1x eMMC', '1x GPIO']","['Wi-Fi 6 (802.11ax)', 'Bluetooth 5.0']","['Yocto Linux', 'Buildroot Linux', 'Ubuntu', 'Zephyr RTOS', 'FreeRTOS']",85°C,-40°C,"['FCC', 'IC', 'CE', 'UKCA', 'RCM', 'MIC', 'KC', 'Bluetooth SIG']","High-performance SMARC module with NXP i.MX processor, robust connectivity, and extensive software support.","The Nitrogen SMARC is a versatile System on Module (SoM) featuring NXP's i.MX processor, offering robust connectivity options including Wi-Fi 6 and Bluetooth 5.0. It supports multiple operating systems and is designed for industrial and medical applications with long-term support.","The Nitrogen SMARC module by Laird Connectivity is built on the SMARC standard, powered by NXP's i.MX processor. It includes high-performance LPDDR4 RAM and eMMC storage, with a range of I/O interfaces such as USB, Ethernet, CAN, and more. The module supports a variety of operating systems, including Yocto Linux and Zephyr RTOS, and is designed for industrial applications with a wide operating temperature range and multiple certifications.","['Industrial IoT', 'Smart City', 'Smart Camera', 'Smart Building Control', 'Industrial Human Machine Interface', 'Commercial Food and Beverage Equipment']",['N93_SMARC_SOM_2R16E']
SOM-7567CM8CB-U0A1,SOM INTEL ATOMCELERON PROCESSOR COM EXPRESS MINI MODULE,ADVANTECH,COM EXPRESS MINI MODULE,False,SILVERMONT,Dual-core,INTEL,6W,4GB DDR3L,64GB TLC SSD,12V,"['PCIe x1', 'USB 2.0', 'USB 3.0', 'SATA II', 'Ethernet', 'GPIO', 'SPI', 'I2C', 'SMBus', 'RS232', 'RS485']",,"['Windows Embedded Standard', 'Linux']",85°C,-40°C,,"Compact COM Express Mini Module with Intel Atom/Celeron processors, suitable for embedded applications.","The SOM Intel AtomCeleron Processor COM Express Mini Module is designed for embedded applications, featuring Intel Atom and Celeron processors based on the Silvermont microarchitecture. It supports onboard DDR3L memory and SSD storage, with a wide range of I/O interfaces.","This COM Express Mini Module integrates Intel Atom and Celeron processors, offering a balance of performance and power efficiency. It includes onboard DDR3L memory and SSD storage, with support for various I/O interfaces such as PCIe, USB, SATA, Ethernet, and more. The module is suitable for harsh environments with an extended operating temperature range.","['Industrial automation', 'Embedded systems', 'IoT devices', 'Medical equipment']",['SOM-7567CM8CB-U0A1']
SRMX6QDW00D02GE000V15A0,MICROSOM IPRO,SOLIDRUN LTD,MICROSOM,False,ARM,4,NXP,,1 GB DDR3,"eMMC, SD/microSD",5V,"['Multiple interfaces including HDMI, USB, CAN bus, SATA, PCIe']","Optional Wi-Fi, Bluetooth",Linux,105C,-40C,Common Criteria Certification,Quad-core ARM-based MicroSoM with optional wireless capabilities.,"The MicroSoM iPro is a compact system-on-module featuring a quad-core ARM processor, optional Wi-Fi and Bluetooth, and a variety of I/O interfaces including HDMI, USB, and PCIe.","The MicroSoM iPro by SolidRun Ltd is based on NXP's iMX Quad Core SoC, offering robust computing solutions with a small form factor. It supports multiple temperature grades and provides a range of interfaces such as HDMI, USB, and PCIe for versatile applications.","Industrial, automotive, and commercial applications requiring compact and robust computing solutions.","['SRMX6QDW00D02GE000V15A0', 'SRMX6QDW00D02GE000V15C0', 'SRMX6QDW00D02GE000V15I0']"
IB811F-335,IBFI,IBASE,SBC,False,x86,Quad-core,Intel,6W,Up to 8GB DDR3L SODIMM,mSATA,12V,"['2x USB 3.0', '2x USB 2.0', '2x COM', '2x SATA III', '2x GbE LAN']",5G communications,Windows 10 and Linux Ubuntu,60°C,-20°C,"ISO 9001, ISO 13485, ISO 14001, ISO 27001, EN50155, EN45545, E-mark","IBFI SBC with Intel Atom, dual GbE LAN, HDMI, DisplayPort, and wide temperature support.","The IBFI is a single board computer featuring an Intel Atom processor, dual Gigabit Ethernet LAN, HDMI, DisplayPort, and support for wide temperature ranges, making it suitable for industrial applications.","The IBFI SBC is equipped with an Intel Atom x5-E3940 processor, offering quad-core performance with a base frequency of 1.6 GHz and a turbo boost up to 1.8 GHz. It supports up to 8GB of DDR3L SODIMM memory and includes mSATA for onboard storage. The board provides extensive I/O options including dual GbE LAN, HDMI, DisplayPort, and multiple USB and COM ports. Designed for industrial environments, it operates within a temperature range of -20°C to 60°C.","['Industrial automation', 'Embedded systems', 'Digital signage']","['IB811F-335', 'IB811F-I30', 'IB811LF-420', 'IB811LF-I50']"
AIMB-287FL-00A1E,AIMB,ADVANTECH,MINI-ITX,False,X86,Up to 24,INTEL,35W / 46W / 60W / 65W,"Dual Channel DDR4 2933 MHz SDRAM, Max Capacity 64GB","M.2 M key SSD, NVMe supported",12V DC,"['HDMI', 'eDP', 'Dual LAN', 'USB 3.2 Gen 1', 'SATA III']",M.2 E key wireless,"['Windows 10', 'Windows 7']",60°C,0°C,RoHS COMPLIANT,Industrial motherboard supporting Intel 10th Gen Core processors with dual display and extensive I/O options.,"The AIMB is an industrial motherboard designed for robust applications, featuring Intel 10th Gen Core processors, dual display support via HDMI and eDP, and a variety of I/O interfaces including dual LAN and USB 3.2 Gen 1.","The AIMB motherboard by Advantech is built for industrial applications, supporting Intel 10th Gen Core processors with LGA1200 socket and Intel H420E chipset. It offers dual-channel DDR4 memory up to 64GB, dual display outputs via HDMI and eDP, and extensive connectivity options including dual LAN, USB 3.2 Gen 1, and SATA III. The board is RoHS compliant and supports embedded software APIs for enhanced functionality.","['Industrial Automation', 'Embedded Systems', 'Digital Signage']","['AIMB-287FL-00A1E', 'AIMB-287FL-00A1N', 'AIMB-287G2-00A1E']"
AIMB-242QG2-H5A1E,AIMB,ADVANTECH,MINI-ITX,False,X86,Up to 16,INTEL,45W,32GB DDR4 2133MHz SDRAM,M.2 NVMe SSD,ATX 20-pin+8-pin ATX12V,"['2 HDMI', '2 Display Port', '2 Ethernet', '6 USB', 'Audio', 'Serial RS-232']",M.2 E key for wireless,"['WISE-PaaS/RMM', 'Embedded Software APIs']",60°C,0°C,"['RoHS COMPLIANT', 'EC Standard']",Industrial motherboard supporting Intel Xeon and Core processors with Mini-ITX form factor.,"The AIMB series is an industrial motherboard featuring support for Intel Xeon and Core processors, Mini-ITX form factor, dual-channel DDR4 memory, and multiple I/O interfaces including HDMI, Display Port, and Ethernet.","The AIMB series motherboards are designed for industrial applications, supporting Intel Xeon and Core processors with a Mini-ITX form factor. They offer dual-channel DDR4 2133MHz SDRAM, multiple display outputs including HDMI and Display Port, and extensive I/O options such as Ethernet, USB, and serial ports. The boards are RoHS compliant and meet EC standards, making them suitable for a wide range of industrial environments.","['Industrial Automation', 'Embedded Systems', 'IoT Applications']","['AIMB-242QG2-H5A1E', 'AIMB-242QG2-H7A1E', 'AIMB-242QG2-M7A1E', 'AIMB-242WG2-HEA1E']"
NANO-ULT5-i5-R10,NANOULT,IEI,EPIC,False,x86,Quad Core,Intel,15W,Dual-channel DDR4 SODIMMs support up to 32GB,Optional 64GB eMMC,12V DC,"['2x HDMI, 2x DP, 2x PCIe GbE LAN, 4x USB 3.2 Gen 1, 6x RS-232/422/485']",,,60°C,-20°C,RoHS,"EPIC SBC with Intel 11th Gen Mobile Core and Celeron processors, supporting triple independent displays and multiple I/O interfaces.","The NANOULT is an EPIC SBC featuring Intel's 11th Generation Mobile Core and Celeron processors, offering robust performance with dual-channel DDR4 memory support, triple independent display outputs, and a variety of I/O interfaces including HDMI, DP, PCIe GbE LAN, and USB 3.2 Gen 1.","The NANOULT EPIC SBC is designed for high-performance applications, equipped with Intel's 11th Gen Mobile Core and Celeron processors. It supports dual-channel DDR4 SODIMMs up to 32GB, optional 64GB eMMC storage, and features a wide range of I/O interfaces including HDMI, DP, PCIe GbE LAN, USB 3.2 Gen 1, and RS-232/422/485. The board is RoHS compliant and operates within a temperature range of -20°C to 60°C, making it suitable for various industrial applications.","Industrial automation, digital signage, and embedded computing applications.",['NANO-ULT5-i5-R10']
AIMB-780QG2-00A1E,AIMB,ADVANTECH,ATX,False,x86,4,INTEL,6W,Supports up to 32 GB DDR3,8 GB eMMC NAND Flash,12V,"['VGA', 'DVI', 'Dual GbE LAN', 'USB', 'COM', 'RS-232', 'RS-422/485']","Wi-Fi, Bluetooth, 3G, 4G, NB-IoT, LPWAN",Win10/Ubuntu,60°C,0°C,"CE, FCC",Industrial motherboard supporting Intel processors with dual display and dual LAN.,"The AIMB motherboard supports Intel Core, Pentium, and Xeon processors, featuring dual display outputs, dual GbE LAN, and multiple expansion slots.","The AIMB series industrial motherboards are designed for high-performance applications, supporting Intel Core i3/i5/i7, Pentium, and Xeon processors. It features dual display outputs (VGA and DVI), dual GbE LAN, and a variety of expansion slots including PCI and PCIe. The board supports up to 32 GB of DDR3 memory and offers a range of I/O interfaces including USB, COM, and RS-232/422/485.","['Industrial automation', 'Embedded systems', 'Networking']","['AIMB-780QG2-00A1E', 'AIMB-780WG2-00A1E']"
PCM-3362N-S6A1E,PCM-NS,ADVANTECH,PC/104,False,x86,,INTEL,,"DDR2 667 MHz, 2 GB",4 GB Flash,5V,"['4 USB', '2 RS-232', '1 RS-422/485', '1 VGA', '1 LVDS', '1 Ethernet']",,"['Windows CE', 'Windows XP Embedded', 'Linux', 'VxWorks']",70°C,-40°C,,"Compact PC/104 module with Intel Atom N450, 2 GB DDR2, and 4 GB Flash storage.","The PCM-NS is a compact PC/104 module featuring an Intel Atom N450 processor, 2 GB DDR2 memory, and 4 GB onboard Flash storage. It supports multiple operating systems including Windows CE, Windows XP Embedded, Linux, and VxWorks, making it suitable for various industrial applications.","The PCM-NS series offers a robust solution for industrial applications with its Intel Atom N450 processor, 2 GB DDR2 memory, and 4 GB Flash storage. It includes a variety of I/O interfaces such as USB, RS-232, RS-422/485, VGA, LVDS, and Ethernet. The module supports extended temperature ranges from -40°C to 70°C, ensuring reliable performance in harsh environments.","['Industrial automation', 'Embedded systems', 'IoT devices']","['PCM-3362N-S6A1E', 'PCM-3362N-S6F4A1E', 'PCM-3362Z-1GS6A1E', 'PCM-3362Z2-1GS6A1E']"
ARK-5261I-J0A1E,ARK FANLESS EMBEDDED BOX PC,ADVANTECH,BOX PC,False,X86,4,INTEL,10 watts,"DUAL CHANNEL DDR3L, UP TO 8GB","SATA HDD/SSD BAYS, MSATA",12-24 VDC,"['2 x GIGA LAN', '4 x USB', '4 x COM', '1 x VGA', '1 x PS/2', '1 x PARALLEL PORT', '8-BIT DIGITAL IO']","IEEE 802.15.4e, 2.4GHz, 128-bit AES encryption","['MICROSOFT WINDOWS EMBEDDED', 'LINUX FEDORA']",60°C,-20°C,"['EMC CE', 'FCC', 'CCC', 'BSMI', 'UL']","Fanless embedded box PC with Intel Celeron J processor, PCI/PCIe expansion slots, and wide operating temperature range.","The ARK Fanless Embedded Box PC is designed for industrial applications, featuring an Intel Celeron J processor, dual mobile HDD/SSD support, PCI/PCIe expansion slots, and a robust aluminum housing. It supports a wide range of operating temperatures and various I/O interfaces.","The ARK Fanless Embedded Box PC by Advantech is a versatile industrial computer equipped with an Intel Celeron J processor. It offers dual-channel DDR3L memory support up to 8GB, multiple I/O interfaces including USB, COM, and LAN ports, and expansion capabilities with PCI and PCIe slots. The system is housed in a durable aluminum chassis, supports a wide input voltage range of 12-24 VDC, and operates in temperatures from -20°C to 60°C. It is certified for EMC CE, FCC, CCC, BSMI, and UL standards, making it suitable for various industrial environments.","['INDUSTRIAL AUTOMATION', 'EMBEDDED SYSTEMS', 'COMMUNICATION GATEWAYS']","['ARK-5261I-J0A1E', 'ARK-5261P-J0A1E', 'ARK-5261S-J0A1E']"
ROM-3420CD-MDA2E,ROM RTX MODULE,ADVANTECH,RTX,True,ARM,Dual/Quad,NXP,,DDR3 2GB,eMMC 16GB,5V,"['PCIe', 'GbE', 'USB', 'USB OTG', 'SATA II', 'I2C', 'IS', 'Camera', 'CANbus', 'GPIO']","Wi-Fi, Bluetooth","['Linux', 'Android']",85°C,-40°C,"['RoHS', 'CE', 'FCC Class B']",High-performance ARM Cortex-A module with wide temperature range and extensive I/O support.,"The ROM RTX module integrates an ARM Cortex-A processor with dual or quad-core options, offering high performance and low power consumption. It supports a wide range of I/O interfaces and is suitable for industrial applications.","The Advantech ROM RTX module features an NXP ARM Cortex-A iMX processor, available in dual or quad-core configurations. It includes 2GB DDR3 memory and 16GB eMMC storage. The module supports a wide range of I/O interfaces including PCIe, GbE, USB, SATA II, and more. It is designed for industrial applications with a wide operating temperature range and supports Linux and Android BSPs.","['Industrial applications', 'Embedded systems', 'IoT devices']","['ROM-3420CD-MDA2E', 'ROM-3420WD-MDA2E']"
MIO-2263EZ-2GS3A1E,MIOJUAE,ADVANTECH,PICOITX,False,X86,4,INTEL,15W,8 GB DDR3L,mSATA,12V,"['Rich I/O interface with GbE x 2, USB 3.2, COM Port, DIO SMBus, TPM2.0']","Wi-Fi/ Bluetooth, LTE/ GPS","['Windows Embedded', 'Linux', 'VxWorks']",60°C,-20°C,"EN 50121-4, NEMA TS-2","PicoITX SBC with Intel Atom SoC, rich I/O, and dual display support.","The MIOJUAE is a PicoITX SBC featuring Intel Atom SoC with quad-core processing, supporting dual independent displays, and a rich set of I/O interfaces including USB, COM, and mSATA.","The MIOJUAE by Advantech is a compact PicoITX single board computer designed for embedded applications. It features an Intel Atom SoC with quad-core processing capabilities, supports up to 8 GB of DDR3L memory, and offers a variety of I/O options including USB, COM ports, and mSATA for storage. The board supports dual independent displays via VGA and HDMI, making it suitable for multimedia applications. It operates within a temperature range of -20°C to 60°C, making it ideal for industrial environments.","['Industrial Automation', 'Multimedia Applications', 'Embedded Systems']","['MIO-2263EZ-2GS3A1E', 'MIO-2263J-U0A1U', 'MIO-2263JH-U0A1E']"
iW-G34S-SM04-4L002G-E016G-BIA,IMX M MINI NANO PICO ITX SBC,IWAVE SYSTEMS,PICO ITX,False,ARM,Quad,NXP,,"LPDDR4 2GB, Expandable up to 4GB","eMMC Flash 8GB, Expandable up to 128GB",12V,"['USB, Ethernet, HDMI, LVDS, MIPI CSI, MIPI DSI, PCIe, CAN, RS232']","Wi-Fi a/b/g/n/ac, Bluetooth","Linux, Android Pie",85°C,-40°C,"RoHS, REACH","The iMX M Mini Nano Pico ITX SBC is a compact single board computer designed for industrial and embedded applications, featuring a quad-core ARM Cortex processor, extensive I/O options, and wireless connectivity.","The iMX M Mini Nano Pico ITX SBC by iWave Systems is a versatile single board computer that integrates a quad-core ARM Cortex A processor, offering robust performance for industrial HMI, audio/video streaming, digital signage, and home automation. It supports multiple I/O interfaces including HDMI, LVDS, MIPI, and PCIe, and provides wireless connectivity with Wi-Fi and Bluetooth. The board is designed for a wide range of operating temperatures and complies with RoHS and REACH standards.","The iMX M Mini Nano Pico ITX SBC is a high-performance single board computer developed by iWave Systems. It features a quad-core ARM Cortex A processor and a Cortex M core for efficient processing. The board supports up to 4GB of LPDDR4 RAM and 128GB of expandable storage via eMMC and microSD. It includes a variety of I/O options such as USB, Ethernet, HDMI, LVDS, and MIPI interfaces, making it suitable for a wide range of applications. The SBC is designed to operate in harsh environments with a temperature range from -40°C to 85°C and is compliant with RoHS and REACH standards. It supports Linux and Android Pie operating systems, providing flexibility for developers.","['Industrial HMI', 'Audio/Video Streaming', 'Digital Signage', 'Home Automation', 'General Embedded Applications']",['iW-G34S-SM04-4L002G-E016G-BIA']
ASMB-831T2-00A1,ASMB,ADVANTECH,ATX,False,Raptor Lake-S,24,AMD,125 W,"DDR4 ECC REG, up to 512GB",,+12V/+5V/+3.3V/+5Vsb/-12V/12V_8P,"['Nine SATA, seven USB 3.2 Gen 1 ports']",,,60°C,0°C,CE/FCC,"ATX server board with AMD EPYC Embedded processor, supports DDR4 ECC REG memory.","The ASMB ATX server board features an AMD EPYC Embedded processor, supports up to 512GB DDR4 ECC REG memory, and includes multiple PCIe slots and SATA ports.","The ASMB server board is designed for high-performance applications, featuring an AMD EPYC Embedded processor, multiple PCIe slots for expansion, and support for up to 512GB of DDR4 ECC REG memory. It includes nine SATA ports and seven USB 3.2 Gen 1 ports for extensive connectivity.","Data centers, enterprise servers, industrial computing","['ASMB-831T2-00A1', 'ASMB-976T2-00A1U']"
HYPER-RK39-R10-U-CN,HYPERRK,IEI,PICOITX,False,ARM,Quad-core,ROCKCHIP,15W,4 GB LPDDR3,16 GB eMMC,12V,"['1 x HDMI', '1 x eDP', '2 x USB 3.0 Gen 1 Type A', '1 x USB 3.0 Gen 1 Type C', '1 x GbE LAN', '1 x COM port', '1 x PCIe Mini']","['Wi-Fi 802.11 a/b/g/n/ac', 'Bluetooth 4.0']","['Android', 'Linux', 'QT']",60°C,0°C,"['RoHS', 'CE', 'FCC Class A']","PicoITX SBC with Rockchip processor, dual display support, and extensive I/O options.","The HYPERRK is a PicoITX single board computer featuring a Rockchip processor, supporting dual display outputs via HDMI and eDP, with comprehensive connectivity options including USB, Ethernet, and PCIe Mini.","The HYPERRK PicoITX SBC is designed for versatile applications, equipped with a Rockchip RK3399 processor, 4 GB LPDDR3 memory, and 16 GB eMMC storage. It supports Android, Linux, and QT operating systems, and offers a range of I/O interfaces including HDMI, eDP, USB 3.0, and GbE LAN. The board is compliant with RoHS, CE, and FCC Class A standards, making it suitable for industrial and commercial use.","['POS', 'Kiosk', 'Digital Signage']","['HYPER-RK39-R10-U-CN', 'HYPER-RK39-R10-U-EU', 'HYPER-RK39-R10-U-TW', 'HYPER-RK39-R10-U-US']"
"SDM500L_i5-8265U, Large size",SDML,AXIOMTEK,SMART DISPLAY MODULE,False,x86,4 cores,INTEL,28W,8GB DDR4 SODIMM,M.2 SSD,12V,"['HDMI, USB, DisplayPort, Ethernet']","WiFi, Bluetooth",Windows 10 (x64),60°C,0°C,"CE Class B, FCC Class B",Intel Smart Display Module with 8GB DDR4 memory and M.2 SSD storage.,"The Axiomtek SDML is a Smart Display Module featuring Intel's 8th Gen Core i3/i5/i7 and Celeron processors, supporting up to 8GB DDR4 SODIMM memory and M.2 SSD storage. It offers HDMI, USB, DisplayPort, and Ethernet connectivity.","Axiomtek's SDML module is designed for smart display applications, powered by Intel's 8th Gen processors. It supports DDR4 SODIMM memory and M.2 SSDs, with a variety of I/O options including HDMI, USB, and Ethernet. The module is suitable for commercial use, offering robust performance and connectivity options.","Smart displays, kiosks, digital signage","['SDM500L_i5-8265U, Large size']"
EmQ-i2401-N3350,EMQIN,ARBOR TECHNOLOGY,QSEVEN,False,X86,8 cores,INTEL,15W,4 GB DDR3L SDRAM,64 GB eMMC,5V,"['4 USB ports', '2 USB 3.0 SuperSpeed ports', '4 PCIe x1 lanes', '2 Serial ATA ports', '2 Intel Ethernet controllers']",802.11 a/b/g/n/ac + BT 4.2,"['Windows 10', 'Linux Ubuntu']",85°C,-40°C,"RoHS, SVHC / REACH","Qseven CPU module with Intel Apollo Lake SoC, 4GB DDR3L RAM, and 64GB eMMC storage.","The EMQIN is a Qseven CPU module featuring an Intel Apollo Lake SoC, 4GB DDR3L RAM, and 64GB eMMC storage. It supports Windows 10 and Linux Ubuntu operating systems.","The EMQIN module is designed for industrial applications, offering a robust Intel Apollo Lake SoC with integrated graphics, dual-channel LVDS, and multiple I/O options including USB, PCIe, and SATA. It is suitable for harsh environments with an operating temperature range from -40°C to 85°C.","['Industrial automation', 'Embedded systems', 'IoT devices']","['EmQ-i2401-N3350', 'EmQ-i2401-N4200']"
DPX-E130-S0A1E,DPX-E,ADVANTECH INNOCORE,Compact,False,x86,Dual/Single,AMD,9W,Up to 8GB DDR3,"CompactFlash, CFast, SATA, mSATA",12V DC,"['Multiple USB, Ethernet, COM ports']","Wi-Fi/Bluetooth, 3g and GPS",Microsoft operating system licenses,50°C,0°C,"['EMC CE Class A', 'RoHS', 'WEEE']","Low power, compact gaming solution with AMD G-Series APU.","The DPX-E is a complete gaming solution designed for Italian AWP regulations, featuring AMD G-Series APU, low power consumption, and a robust set of gaming features.","The DPX-E system is based on the AMD G-Series embedded chipset, offering dual or single core performance with low power consumption. It includes a fanless enclosure, multiple I/O options, and is designed for the Italian gaming industry. The system supports various storage options and provides a comprehensive software API package for easy integration.","['Gaming', 'Italian AWP regulations']","['DPX-E130-S0A1E', 'DPX-E130-S1A1E', 'DPX-E130-S6A1E']"
AIMB-B2205SG-15Z1E,EPCB,ADVANTECH,MINI-ITX,False,x86,Up to 24 cores,INTEL,35W,"Two 260-pin SODIMM, 32GB DDR4 2133MHz SDRAM",Optional 2 x mSATA via jumper setting for Mini-PCIe slots,100-240V AC,"['USB 2.0', 'USB 3.0', 'DVI-D', 'VGA', 'DisplayPort', 'Ethernet', 'Audio']",Optional WLAN Antenna,QNX SDP 7.0 BSP,60°C,0°C,"['CE', 'FCC', 'CCC', 'CB', 'UL']",EPCB is a Mini-ITX industrial motherboard supporting Intel processors with robust I/O options and dual display capabilities.,"The EPCB is an embedded Mini-ITX motherboard designed for industrial applications, supporting Intel 6th and 7th Gen Core, Pentium, and Celeron processors. It offers dual display support, multiple I/O interfaces, and is RoHS compliant.","EPCB features a Mini-ITX form factor with support for Intel's 6th and 7th Gen Core, Pentium, and Celeron processors. It includes two 260-pin SODIMM slots for up to 32GB DDR4 2133MHz SDRAM, dual display outputs (DVI-D, VGA, DisplayPort), and a variety of I/O interfaces including USB 2.0, USB 3.0, Ethernet, and audio. The system is designed for industrial environments with a wide operating temperature range and multiple certifications.","['Industrial Automation', 'Digital Signage', 'Kiosk Systems', 'Embedded Computing']",['AIMB-B2205SG-15Z1E']
ARK-DS762GB-00A1E,ARKDS,ADVANTECH,Digital Signage Platform,False,x86,Quad Core,INTEL,35W,8GB DDR3,64GB SSD,12V DC,"['4 USB, 2 HDMI, 2 LAN, 1 Audio']","['WiFi', 'Bluetooth']","['Windows 10', 'Linux', 'CentOS', 'Fedora']",60°C,-20°C,"['CE', 'FCC Class B', 'CCC', 'BSMI', 'UL']","Digital signage platform with Intel Core processor, multiple display outputs, and robust connectivity options.","The ARKDS is a digital signage platform powered by Intel's 3rd generation Core processors. It supports multiple independent displays via HDMI, offers flexible expansion options, and is designed for robust performance in various environments.","The ARKDS digital signage platform features Intel's 3rd generation Core processors, supporting up to quad-core configurations. It includes Intel HD Graphics for high-resolution display outputs, multiple HDMI ports, and extensive I/O options including USB and LAN. The system is designed for easy mounting and supports a wide range of operating systems, making it ideal for commercial digital signage applications.","['Digital Signage', 'Retail Displays', 'Information Kiosks']","['ARK-DS762GB-00A1E', 'ARK-DS762GQ-U3A1E']"
QC-DB-C00003,DRAGONBOARD EMBEDDED DEVELOPMENT KIT,INTRINSYC TECHNOLOGIES CORP,OPEN Q SYSTEM MODULE,True,ARM,8,QUALCOMM,,2 GB LPDDR3 RAM,16 GB eMMC Flash,12 V DC,"['USB OTG', 'USB Host', 'PCIe', 'SATA', 'SD Socket', 'Digital IO', 'Analog Audio', 'Digital Audio', 'HDMI', 'UART', 'SPI', 'GPIO']","['Wi-Fi 802.11 b/g/n/ac', 'Bluetooth', 'IZat Gen 8C GPS']",Android Marshmallow,,,,"Versatile, easy-to-use embedded development kit for IoT devices.","The DragonBoard Embedded Development Kit is a versatile platform for creating next-generation embedded IoT devices, featuring a Qualcomm Snapdragon processor, comprehensive I/O options, and integrated wireless connectivity.","Intrinsyc's DragonBoard Embedded Development Kit provides a robust platform for designing and developing smart, connected devices. It includes a Qualcomm Snapdragon processor with octa-core ARM Cortex-A53, Adreno GPU, and Hexagon DSP. The kit supports high-definition audio, multiple camera inputs, and 4K UHD displays, making it ideal for multimedia applications. It offers extensive I/O options, including USB, PCIe, SATA, and more, along with wireless connectivity options like Wi-Fi and Bluetooth.","['Embedded IoT devices', 'Smart connected devices', 'Multimedia applications']",['QC-DB-C00003']
WAFER-ULT2-i1-C-R11,WAFERULTIIR,IEI,Single Board Computer,False,x86,2,Intel,15W,"Two DDR3L SODIMM slots, up to 16GB",mSATA support,12V DC,"['Multiple USB, RS-232, SATA, PCIe, LAN ports']",Wi-Fi/BT support via M.2 2230 E-Key,"Windows 10, 8.1, 7, Any Linux Distribution for X86",60°C,0°C,RoHS,"WAFERULTIIR is a single board computer with Intel ULT processors, supporting dual-channel DDR3L memory and multiple I/O interfaces.","The WAFERULTIIR SBC features Intel's 5th generation ULT mobile processors, dual-channel DDR3L memory support, and a variety of I/O options including USB, SATA, and PCIe. It is designed for industrial applications requiring robust performance and connectivity.","The WAFERULTIIR single board computer by IEI is equipped with Intel's 5th generation ULT mobile processors, offering dual-core performance with a TDP of 15W. It supports up to 16GB of DDR3L memory across two SODIMM slots. The board provides extensive connectivity options including dual GbE LAN, multiple USB ports, SATA interfaces, and PCIe expansion slots. It is compliant with RoHS standards and operates within a temperature range of 0°C to 60°C, making it suitable for various industrial applications.","Industrial automation, embedded systems, IoT applications",['WAFER-ULT2-i1-C-R11']
