name,manufacturer,form_factor,evaluation_or_commercialization,processor_architecture,processor_core_count,processor_manufacturer,processor_tdp,memory,onboard_storage,input_voltage,io_count,wireless,operating_system_bsp,operating_temperature_max,operating_temperature_min,certifications,short_summary,full_summary,full_product_description,target_applications
LEC-PX SMARC SHORT SIZE MODULE,ADLINK TECHNOLOGY INC,SMARC,False,ARM,Quad-core,ROCKCHIP,,4GB DDR4L,64GB eMMC,,"['1x USB OTG', '2x USB 3.0', '1x USB 2.0', '1x LAN', '1x CAN FD', '4x I2C', '2x UART', '4x SPI']",,"['Yocto Linux BSP', 'Debian Linux', 'Android (on request)']",85°C,-40°C,"['IEC 60068-2-27', 'IEC 60068-2-64', 'MIL-STD-810F']","LEC-PX SMARC module with Rockchip PX Quad-core ARM Cortex-A, designed for IoT and industrial applications.","The LEC-PX SMARC Short Size Module features a Rockchip PX Quad-core ARM Cortex-A processor, offering robust performance for IoT and industrial applications. It supports multiple operating systems, including Yocto Linux and Debian Linux, with optional Android support. The module includes extensive I/O options, dual Ethernet, and supports rugged operating temperatures.","The LEC-PX SMARC Short Size Module by ADLINK Technology is equipped with a Rockchip PX Quad-core ARM Cortex-A processor, providing advanced cryptographic extensions for IoT security. It includes 4GB DDR4L memory and 64GB eMMC storage. The module supports a wide range of I/O interfaces, including USB, LAN, CAN FD, and SPI, making it suitable for various industrial applications. It is designed to operate in extreme temperatures, with certifications for shock and vibration resistance.","['IoT', 'Industrial Automation', 'Embedded Systems']"
MIO,ADVANTECH,SBC,False,x86,4,AMD,12-25W,"DDR4, Dual Channel, Up to 32GB",Supports NVMe,12-24V DC,"['2x GbE', '4x USB 3.1 Gen1', '2x HDMI', '1x DP', '2x SATA III', '2x RS-232', '1x RS-422/485', '8-bit GPIO']",Wi-Fi 6E+BT 5.3,"['Windows 10', 'Ubuntu 20.04 LTS']",60°C,-20°C,"['CE', 'FCC Class B']","MIO SBC with AMD Ryzen Embedded R Series, quad-core, dual-channel DDR4, multiple display support.","The MIO SBC features an AMD Ryzen Embedded R Series processor with quad-core performance, dual-channel DDR4 memory support, and multiple display interfaces including HDMI and DP. It offers extensive I/O options and is suitable for industrial applications.","The MIO SBC by Advantech is powered by the AMD Ryzen Embedded R Series processor, offering quad-core processing capabilities. It supports dual-channel DDR4 memory up to 32GB and features integrated AMD Radeon graphics. The board provides multiple display outputs including HDMI and DP, and extensive I/O options such as GbE, USB, SATA, and serial ports. It is designed for industrial applications with a wide operating temperature range and compliance with CE and FCC Class B standards.","['Industrial Automation', 'Digital Signage', 'Embedded Systems']"
FANLESS BOX SYSTEM,IBASE,COMPACT EXPANDABLE,False,x86,4,INTEL,35W,8GB DDR4 SODIMM,128GB MLC SSD,12V,"['2x DVI-D', '1x VGA', '2x Audio jack', '6x USB ports', '2x RJ45 Gigabit Ethernet', '4x RS232/422/485 ports']",WLAN/4G/5G connections,Multiple OS support,60°C,-20°C,"['CE', 'FCC Class B']","Fanless, compact, expandable system with Intel Core processors and multiple I/O options.","The IBASE Fanless Box System is a compact and expandable system featuring Intel Core i3/i5/i7 desktop processors with a 35W TDP. It supports three independent display outputs, dual SIM slots for WWAN redundancy, and RAID support. The system is designed for industrial applications with a wide range of I/O interfaces and robust construction.","The IBASE Fanless Box System is engineered for industrial applications requiring robust performance and reliability. It features a fanless design with Intel's 8th/9th Gen Core i3/i5/i7 processors, offering up to 4 cores and 8 threads. The system supports up to 32GB DDR4 memory and includes multiple storage options such as HDD/SSD and mSATA. It provides extensive I/O connectivity, including USB, Ethernet, and serial ports, and is certified for CE and FCC Class B standards.","['Industrial Automation', 'Digital Signage', 'Network Security', 'Transportation']"
ARKDS,ADVANTECH,OPS,False,x86,24,INTEL,28W (passive cooled),Up to 16 GB DDR3,SATA III HDD/SSD support,12V,"['JAE TX25 pin, JAE TX30 pin, HDMI, LAN RJ45, USB 2.0, Audio Line-out, COM RS232']",Optional WiFi b/g/n MiniPCIe module,"['Microsoft Windows', 'Windows Embedded Standard', 'XP Embedded', 'Linux Fedora']",60°C,0°C,"['CE', 'FCC Class B', 'CCC', 'BSMI', 'C-Tick', 'UL']","Intel Core OPS Digital Signage Platform with HDMI, eDP, and multiple I/O interfaces.","The ARKDS is a digital signage platform based on 3rd generation Intel Core processors, compliant with the OPS standard, supporting HDMI, eDP, and various I/O interfaces for flexible integration.","The ARKDS platform features 3rd generation Intel Core processors, Intel QM77 chipset, and supports up to 16 GB DDR3 memory. It offers multiple I/O options including HDMI, LAN, USB, and audio interfaces, with optional wireless connectivity. The platform is designed for easy maintenance and integration, compliant with Energy Star standards.","['Digital Signage', 'Interactive Kiosks', 'Information Displays']"
RKCONS,STARTECHCOM,RACKMOUNT,False,Intel 64,14,Intel,45 W,64 GB,M.2 NVMe (PCIe 4.0 x2) slots,AC,"['VGA, USB']","Intel AX211, Qualcomm WCN6856",,50 C,0 C,CE/FCC,"Rackmount KVM console with VGA and USB support, featuring a durable steel design.","The RKCONS is a rackmount KVM console providing keyboard, monitor, and mouse control for single or multiple servers. It features a built-in keyboard, touchpad, and an LCD display supporting various resolutions. The console is designed for space efficiency and durability, with a steel housing and integrated power supply.","This rackmount KVM console, model RKCONS, offers complete control over servers with a built-in keyboard, touchpad, and LCD monitor. It supports VGA and USB interfaces and is designed to fit in a 1U rack space. The console is made from durable steel and includes features like a handle for easy sliding and an integrated power supply. It is backed by a StarTechcom 2-year warranty and lifetime technical support.","Server management, data centers, IT infrastructure."
CPU COM EXPRESS BASIC TYPE,EUROTECH,COM EXPRESS BASIC,False,x86,4,INTEL,15W,Up to 32GB DDR4 2400MHz Dual Channel,,12V,"['1 Gbit Ethernet', '4 SATA', '4 USB 2.0', '8 USB 3.0', '8-16 PCIe Gen 3 lanes', '3 independent video ports']",,"['Windows IoT Enterprise', 'Linux', 'Yocto', 'Fedora', 'RTOS', 'Everyware Software Framework']",85°C,-40°C,"['RoHS', 'REACH', 'PICMG COM Express R2.1']","Rugged COM Express module with Intel Core/Celeron processors, supporting wide temperature range and IoT integration.","The CPU COM Express Basic Type module features Intel Core and Celeron processors, offering dual and quad-core configurations. It supports a wide range of interfaces including PCIe lanes, SATA, and multiple video outputs, designed for industrial and rugged applications.","The Eurotech CPU COM Express Basic Type module is designed for industrial applications requiring robust performance and reliability. It features Intel's latest generation Core and Celeron processors, supports up to 32GB DDR4 RAM, and offers extensive I/O options including Ethernet, SATA, USB, and PCIe. The module is compliant with PICMG COM Express R2.1 standards and supports a wide operating temperature range, making it suitable for harsh environments.","['Industrial automation', 'Rugged computing', 'IoT gateways', 'Embedded systems']"
IBAF,IBASE,SBC,False,x86,,Intel,,"DDR4 SODIMM, Max 64GB, Non-ECC",,12V DC,"['2x USB 3.1 Type A', '2x USB Type-C', '2x SATA III', '2x M.2 M-Key', '1x M.2 E-Key', '2x DisplayPort', '1x eDP', '1x LVDS', '2x Intel PCIe GbE LAN']",Support CNVi,,60°C,0°C,RoHS,"IBAF is a single board computer featuring Intel's 8th Gen Core and Celeron processors, with extensive I/O options and dual Gigabit LAN.","The IBAF series offers a compact SBC solution with Intel's 8th Gen Core i7/i5/i3 and Celeron processors, supporting up to 64GB DDR4 memory, dual DisplayPort, and dual Gigabit Ethernet, ideal for industrial applications.","IBAF series SBCs are designed for industrial applications, equipped with Intel's 8th Gen processors, supporting up to 64GB DDR4 memory, dual DisplayPort, dual Gigabit Ethernet, and a variety of I/O interfaces including USB 3.1, SATA III, and M.2 slots. The boards are RoHS compliant and support TPM for enhanced security.","['Industrial Automation', 'Digital Signage', 'Kiosk Systems', 'Network Appliances']"
COM EXPRESS MINI MODULE,ADVANTECH,COM EXPRESS MINI MODULE,False,SILVERMONT,4,INTEL,5W,"ONBOARD DDR3L, UP TO 8GB","SLC 16GB, MLC 32GB",12V,"['LVDS', 'HDMI', 'DVI/DP', 'PCIe x1', 'HD Audio', 'GbE', 'SATAII', 'USB 2.0', 'USB 3.0']",,"['WES', 'WESE']",85°C,-40°C,,"COM Express Mini Module with Intel Atom/Celeron processors, onboard DDR3L memory, and wide voltage input support.","The COM Express Mini Module features Intel Atom and Celeron processors, onboard DDR3L memory up to 8GB, and supports a wide range of I/O interfaces including LVDS, HDMI, DVI/DP, PCIe, and more. It is designed for intelligent systems based on the Silvermont microarchitecture.","The COM Express Mini Module by Advantech is equipped with Intel Atom and Celeron processors, offering a compact and efficient solution for embedded applications. It supports up to 8GB of onboard DDR3L memory and features multiple I/O options such as LVDS, HDMI, DVI/DP, PCIe, and SATAII. The module is designed for a wide range of operating temperatures, making it suitable for various industrial applications.","['Embedded systems', 'Industrial automation', 'Intelligent systems']"
DEVKITZVL,NXP,Arduino,True,ARM Cortex-A53,9,NXP,,2GB DDR4,16GB eMMC,3.3V,['Not Available'],"Wi-Fi 802.11b/g/n, Bluetooth 5.1","['CodeWarrior', 'Cosmic IDE']",+85°C,-40°C,"PSA Certified, Arm SystemReady","The DEVKITZVL is an ultra-low-cost development platform for S Microcontrollers, compatible with Arduino pin layout.","The DEVKITZVL provides easy access to MCU I/Os with a standard-based form factor compatible with Arduino pin layout, offering a broad range of expansion board options and USB serial port interface connection.","The DEVKITZVL is designed for industrial and automotive applications, featuring an ultra-low-cost development platform with Arduino compatibility. It includes a USB serial port interface, RGB LED, potentiometer, and supports various development tools like CodeWarrior and Cosmic IDE.","['Industrial', 'Automotive']"
IMBAHR,IEI,ATX,False,x86,6 to 10 cores,Intel,"155 W, 170 W","Dual-channel DDR4 2666MHz, up to 64GB",N/A,"5V, 12V, 3.3V","['6 x USB 3.2 Gen 1', '6 x USB 2.0', '6 x RS-232', '2 x LAN', '1 x VGA', '1 x HDMI', '1 x iDP']",Discrete Wi-Fi 6E,,60°C,0°C,"['CE', 'FCC']",ATX motherboard supporting Intel 8th/9th Gen Core processors with dual independent displays and extensive I/O options.,"The IMBAHR is an industrial ATX motherboard designed for high-performance applications, supporting Intel 8th/9th Gen Core, Pentium, and Celeron processors. It features dual-channel DDR4 memory, dual independent display outputs, and a wide range of I/O interfaces including USB, RS-232, and LAN.","The IMBAHR motherboard is engineered for industrial applications, offering robust performance with support for Intel's 8th and 9th generation processors. It includes dual-channel DDR4 memory slots, multiple expansion slots, and comprehensive I/O options such as USB 3.2, RS-232, and dual LAN ports. The board supports dual independent displays via VGA, HDMI, and iDP interfaces, making it suitable for a variety of display configurations.","['Industrial automation', 'Digital signage', 'Embedded systems', 'Networking']"
PCISABT,IEI,Halfsize PCISA,False,x86,Quad-core,Intel,6W,8GB DDR3L SDRAM,mSATA,12V,"['2x LAN', '6x USB', '1x VGA', '1x HDMI', '1x LVDS', '2x SATA', '1x PCIe Mini']",,,60°C,0°C,RoHS,"Halfsize PCISA CPU card with Intel Atom SoC, dual LAN, and multiple I/O options.","The PCISABT is a halfsize PCISA CPU card featuring an Intel Atom SoC, supporting dual LAN, VGA, HDMI, LVDS, and multiple USB and SATA interfaces. It is designed for industrial applications with a robust set of I/O options.","The PCISABT single board computer is equipped with an Intel Atom E3800 series SoC, offering quad-core processing power with a TDP of 6W. It supports up to 8GB of DDR3L SDRAM and features dual independent display outputs including VGA and LVDS. The board provides extensive connectivity options with dual LAN, multiple USB ports, SATA, and PCIe Mini slots, making it suitable for a wide range of industrial applications.","['Industrial Automation', 'Embedded Systems', 'Digital Signage', 'Networking']"
ROCK PI S,RADXA,Singleboard Computer,False,ARM,Quad-core,ROCKCHIP,2W,256 MB RAM,Optional Onboard eMMC: 0GB / 4GB / 8GB,+5V,"['USB OTG type-C, USB HOST type-A, RJ45 100Mbit Ethernet, 26-pin GPIO header, 26-pin voice/audio header']","Wi-Fi, Bluetooth","Debian, Buildroot",85°C,-40°C,,"The ROCK PI S is a small, high-performance single-board computer suitable for voice applications and IoT projects.","The ROCK PI S is a compact single-board computer featuring a Rockchip RK3308 quad-core ARM processor, 256 MB RAM, and various I/O interfaces, ideal for voice applications and IoT projects.","The ROCK PI S is a mini computer equipped with a Rockchip RK3308 quad-core 64-bit processor, 256 MB RAM, and a variety of interfaces including USB OTG type-C, USB HOST type-A, RJ45 100Mbit Ethernet, and GPIO headers. It supports Debian and Buildroot operating systems and includes Wi-Fi and Bluetooth capabilities.","Voice applications, IoT projects, media center, central controller"
ESPSHMIDEVKIT,ESPRESSIF,Development Kit,True,Xtensa LX6,Dual-core,Espressif Systems,,"4 MB flash, optional 8 MB or 16 MB",4 MB flash,5 V,['34 GPIOs'],Wi-Fi & Bluetooth,ESP-IDF,125 °C,-40 °C,"JEDEC ESD, Latch-up, MSL",The ESPSHMIDEVKIT is a development kit by Espressif.,The ESPSHMIDEVKIT is designed for developers to create applications using Espressif's technology.,The ESPSHMIDEVKIT provides a platform for developing and testing applications with Espressif's hardware and software solutions.,"IoT, AIoT, Edge AI, IIoT"
IBASE IBAF,IBASE TECHNOLOGY,Single Board Computer,False,x86,Up to 6 Performance-cores and up to 8 Efficient-cores,INTEL,15W,Up to 32GB DDR4 SODIMM,mSATA,12V DC,"['4 x USB 3.0', '2 x USB 2.0', '1 x USB Type-C', '2 x SATA III', '2 x Intel Gigabit LAN', '2 x RS-232/422/485']",5G communications enabled,,60°C,0°C,"ISO 9001, ISO 13485, ISO 14001, ISO 27001","IBASE IBAF is a single board computer with Intel Core U-Series processors, supporting dual PCIe GbE LAN, eDP, DP, LVDS, and mSATA.","The IBASE IBAF single board computer features Intel Core U-Series processors, dual PCIe GbE LAN, eDP, DP, LVDS, mSATA, and iSMART technology for efficient power management.","IBASE IBAF is a high-performance single board computer designed for industrial applications. It supports Intel Core U-Series processors, up to 32GB DDR4 SODIMM memory, and offers a variety of I/O interfaces including USB 3.0, USB Type-C, SATA III, and dual Intel Gigabit LAN. The board also features integrated graphics, HD audio, and iSMART technology for intelligent power management.","['Industrial Automation', 'Digital Signage', 'Kiosk Systems', 'Network Appliances']"
NVIDIA JETSON NANO DEVELOPER KIT,NVIDIA,Developer Kit,True,ARM,4,ARM,,4 GB 64-bit LPDDR4,microSD (included),5V via MicroUSB or 5V 4A DC power adapter,"['USB 3.0, USB 2.0, HDMI, DisplayPort, M.2 Key E, Gigabit Ethernet, GPIO, I2C, I2S, SPI, UART, MIPI CSI']",,"Linux, NVIDIA JetPack",,,"UL, CAN ICES-3(B)/NMB-3(B), CE, RoHS, VCCI","The NVIDIA Jetson Nano Developer Kit is a low-cost AI computer for developers, learners, and makers.","The NVIDIA Jetson Nano Developer Kit delivers compute performance to run modern AI workloads at an unprecedented size, power, and cost. It supports AI frameworks and models for applications like image classification, object detection, and speech processing.","The NVIDIA Jetson Nano Developer Kit is powered by a quad-core ARM Cortex-A57 CPU and a 128-core Maxwell GPU. It includes 4 GB of 64-bit LPDDR4 memory and supports microSD storage. The kit offers extensive I/O options, including USB, HDMI, DisplayPort, and more, making it easy to connect a variety of sensors and devices. It is supported by the NVIDIA JetPack SDK, which includes a board support package, Linux OS, and NVIDIA's AI software stack.","AI applications, image classification, object detection, speech processing, and more."
EDMCFIMX,NXP,EDM Compact,False,ARM Cortex-A,Single/Dual/Quad,NXP,,Up to 2GB DDR3,"eMMC up to 64GB, NAND Flash",5V DC,"['USB Host', 'USB OTG', 'CAN Bus', 'UART', 'SPI', 'I2C', 'GPIO', 'HDMI', 'LVDS', 'MIPI', 'SATA', 'PCIe']","['Wi-Fi 802.11b/g/n', 'Bluetooth v4.0']","['Linux', 'Yocto', 'Android', 'Windows Embedded Compact', 'Real Time OS']",85°C,-40°C,Common Criteria Certification,"EDMCFIMX is a compact system-on-module with scalable NXP i.MX processors, targeting multimedia applications.","The EDMCFIMX module features NXP i.MX processors with ARM Cortex-A architecture, offering single, dual, and quad-core options. It supports up to 2GB DDR3 memory and eMMC storage, with extensive I/O interfaces including USB, CAN Bus, and HDMI. Wireless connectivity includes Wi-Fi and Bluetooth.","EDMCFIMX is designed for multimedia applications, featuring NXP i.MX processors with ARM Cortex-A architecture. It supports up to 2GB DDR3 memory and eMMC storage. The module includes a variety of I/O interfaces such as USB, CAN Bus, UART, SPI, and HDMI. Wireless capabilities include Wi-Fi 802.11b/g/n and Bluetooth v4.0. It operates in a wide temperature range, making it suitable for industrial environments.","['Multimedia applications', 'Industrial environments']"
ROM QSEVEN MODULE,ADVANTECH,QSEVEN,True,ARM,Dual,FREESCALE,,1 GB DDR3,4 GB eMMC NAND Flash,5 V,"['PCIe x1', 'SATA', 'USB 2.0', 'USB OTG', 'Audio I2S', 'SPDIF', 'SDIO', 'UART', 'SPI', 'CAN bus', 'GPIO', 'I2C', 'Camera Input', 'Touch Keypad']",802.11 b/g/n,Linux Kernel v3.0,60 C,0 C,"['CE', 'FCC Class B', 'RoHS COMPLIANT']",High-performance Freescale ARM Cortex-A iMX QSeven module with onboard DDR3 memory and eMMC storage.,"The ROM QSeven Module integrates a Freescale ARM Cortex-A iMX series ultra-low power SoC with comprehensive I/O solutions, supporting Linux OS and featuring advanced graphics and video capabilities.","The ROM QSeven Module by Advantech features a Freescale ARM Cortex-A iMX Dual 1 GHz processor, 1 GB DDR3 memory, and 4 GB eMMC NAND Flash storage. It supports a wide range of I/O interfaces including PCIe, SATA, USB, and CAN bus. The module is designed for easy integration with Linux support, offering advanced graphics and video processing capabilities.","['Embedded systems', 'Industrial automation', 'Multimedia applications', 'IoT devices']"
AIMB-GS-AE,ADVANTECH,MINI-ITX,False,X86,2,AMD,9W,8GB DDR3 1333MHz SODIMM,CFast Type III,12V,"['Multiple USB, HDMI, LVDS, COM, Dual LAN']",Wi-Fi and Bluetooth module support,"['Windows XP Embedded', 'Windows Embedded Standard']",60°C,0°C,CE/FCC Class B,"Industrial Mini-ITX motherboard with AMD G-Series Dual Core processor, supporting dual display and multiple I/O interfaces.","The AIMB-GS-AE is an industrial-grade Mini-ITX motherboard featuring an AMD G-Series Dual Core processor, supporting dual display outputs via CRT, HDMI, and LVDS, with extensive I/O options including dual LAN, COM ports, and USB interfaces.","The AIMB-GS-AE motherboard is designed for industrial applications, equipped with an AMD G-Series Dual Core processor and supporting up to 8GB of DDR3 memory. It offers dual display capabilities with CRT, HDMI, and LVDS outputs, and features a variety of I/O interfaces including dual LAN, multiple COM ports, and USB connections. The board supports CFast storage and operates within a temperature range of 0°C to 60°C.","['Industrial Automation', 'Embedded Systems', 'Digital Signage']"
IMXM PLUS,SOLIDRUN,SYSTEM MODULE,True,ARM,8,NXP,,8 GB LPDDR4,64 GB eMMC,5V,['Not Available'],"['Wi-Fi a/b/g/n/ac', 'Bluetooth']",['Embedded Linux'],85°C,-40°C,,"The iMXM Plus is a versatile System on Module featuring NXP iMX M Plus processor, ideal for AI/ML applications with integrated NPU and dual/quad-core options.","The iMXM Plus System on Module by SolidRun is designed for embedded AI/ML applications, featuring NXP's iMX M Plus processor with integrated NPU for edge inferencing. It offers dual and quad-core configurations, onboard Wi-Fi/Bluetooth, and supports multiple display and camera interfaces.","The iMXM Plus SOM integrates NXP's iMX M Plus processor, offering dual and quad-core ARM Cortex-A and Cortex-M cores, with an NPU delivering up to 2.3 TOPS for AI/ML tasks. It includes 8 GB LPDDR4 RAM, 64 GB eMMC storage, and supports extensive connectivity options including Ethernet, Wi-Fi, Bluetooth, and multiple I/O interfaces. The module is suitable for industrial applications with a wide operating temperature range.","['Embedded AI/ML', 'Edge inferencing', 'Industrial automation', 'Vision processing']"
SMARCSAMXX,KONTRON,SMARC,True,ARM,Dual/Quad,NXP,,Up to 8 GByte LPDDR,Up to 64 GByte eMMC,5V,"['2x USB', '1x HDMI', '1x DP', '1x LVDS', '1x PCIe', '1x Ethernet', '1x CAN', '1x SPI', '1x MIPI CSI', '1x GPIO']",,Yocto Linux,85°C,-40°C,,Low power SMARC module with NXP i.MX series processor and Kontron APPROTECT security.,"The SMARCsAMXX is a low power SMARC module featuring NXP i.MX series processors, offering up to 8 GByte LPDDR memory, dual channel LVDS, HDMI, DP, and multiple I/O interfaces. It includes Kontron APPROTECT security solution.","The SMARCsAMXX module is designed for low power applications, integrating NXP i.MX dual/quad processors with up to 8 GByte LPDDR memory and 64 GByte eMMC storage. It supports a variety of interfaces including HDMI, DP, LVDS, USB, Ethernet, and PCIe, and operates within a temperature range of -40°C to 85°C. The module is equipped with Kontron's APPROTECT security solution.","Industrial automation, IoT, embedded systems, and secure applications."
NEX MICROATX BOARD,NEXCOBOT,MICROATX,False,X86,10,INTEL,80W,UP TO 64 GB DDR4 2133 MHZ NON-ECC,"1 x SATA 3.0, 1 x M.2 2242/2280 B-key",12V,"['6 x USB 3.0', '4 x USB 2.0', '2 x HDMI', '1 x DVI-I', '2 x RS-232', '2 x RS-422/485', '2 x PCIe x16', '1 x PCIe x4', '1 x PCI', '2 x SATA 6Gb/s', '2 x LAN']",Wi-Fi 6E with Bluetooth,Linux or Windows based real-time operating systems,60°C,-10°C,"CE, FCC CLASS A","Industrial MicroATX motherboard with Intel Core processor support, rich I/O, and expansion capabilities.","The NEX MicroATX board supports 6th and 7th Generation Intel Core processors, offering high performance and rich expansion options. It features multiple display outputs, extensive I/O interfaces, and is suitable for harsh environments.","The NEX MicroATX board is designed for industrial applications, equipped with Intel's 6th and 7th Generation Core processors. It includes four DDR4 DIMM sockets supporting up to 64GB of non-ECC memory, integrated HD graphics, and a variety of I/O ports including USB, HDMI, and RS-232/422/485. The board supports RAID for data protection and features Intel AMT for easy maintenance. It operates in a wide temperature range, making it ideal for embedded and outdoor applications.","['Embedded applications', 'Outdoor systems', 'Kiosks', 'Home automation', 'Thin clients']"
SMARCSAMXI,KONTRON,SMARC,False,ARM,Quad Core,NXP,6 W,Up to 4 GByte DDR3,Up to 64 GByte eMMC,"3.3V, 5V","['Multiple USB, PCIe, GPIOs, SDIO, SATA, SPI, I2C, CAN']",Antenna connector for WiFI & Bluetooth,Linux,85°C,-40°C,SMARC Smart Mobility Architecture specification,Ultra low power COM based on NXP iMX family SoC with scalable core options.,"The SMARCSAMXI is a SMARC form factor module featuring NXP iMX Solo, Dual, and Quad Core ARM Cortex-A processors, offering scalable performance for commercial and industrial applications.","The SMARCSAMXI module is designed for low power applications, featuring NXP iMX processors with options for Solo, Dual, and Quad Core configurations. It supports up to 4 GByte DDR3 memory and up to 64 GByte eMMC onboard storage. The module includes a variety of interfaces such as USB, PCIe, GPIOs, SDIO, SATA, SPI, I2C, and CAN, making it suitable for a wide range of applications. It operates within a temperature range of -40°C to 85°C, compliant with the SMARC specification.",Commercial and industrial applications requiring scalable performance and low power consumption.
ARKL,ADVANTECH,FANLESS BOX PC,False,X86,2,INTEL,35W,Up to 8GB DDR3L,"1 x SATA HDD/SSD Bay, 1 x Half-size mSATA",12 VDC,"['2 x RS-232/422/485', '4 x USB 2.0', '2 x USB 3.0', '1 x VGA', '2 x GbE LAN', '8-bit GPIO']",Supports WLAN/WWAN module,"['Microsoft Windows 10', 'Windows 8', 'Windows 7', 'Linux']",60°C,-20°C,"['CE', 'FCC Class A', 'CCC', 'BSMI', 'UL', 'CB']","Fanless embedded box PC with Intel Atom E dual-core processor, supporting multiple I/O interfaces and expansion options.","The ARKL is a compact, fanless embedded box PC featuring an Intel Atom E dual-core processor. It offers robust connectivity with multiple I/O ports, including RS-232/422/485, USB, and GbE LAN. The system supports up to 8GB DDR3L memory and provides storage options with SATA and mSATA interfaces. Designed for industrial applications, it supports a wide range of operating systems and offers optional mounting kits.","The ARKL fanless embedded box PC is engineered for industrial environments, featuring an Intel Atom E dual-core SoC. It supports up to 8GB of DDR3L memory and offers flexible storage options with a SATA HDD/SSD bay and a half-size mSATA slot. The device includes a variety of I/O interfaces, such as RS-232/422/485, USB 2.0, USB 3.0, VGA, and dual GbE LAN ports, along with an 8-bit GPIO. It is compatible with multiple operating systems, including Windows and Linux, and is designed for extended temperature operation from -20°C to 60°C. The ARKL is compliant with CE, FCC, CCC, BSMI, UL, and CB standards, making it suitable for a wide range of industrial applications.","['Industrial automation', 'IoT gateways', 'Digital signage', 'Network security appliances']"
VENICE GW,GATEWORKS,SINGLE BOARD COMPUTER,False,ARM,4,NXP,,2 GBytes LPDDR4 DRAM,16 GBytes eMMC,8-60 VDC,"['Two GbE Ethernet Ports', 'Two MiniPCIe Slots', 'Digital IO', 'Analog Input', 'RS232/RS485/TTL Serial', 'I2C', 'SPI', 'USB Host and OTG Ports', 'MIPI-DSI/MIPI-CSI', 'IS Audio']","['WiFi', 'Bluetooth']",['Ubuntu Linux'],85 C,-40 C,,"The VENICE GW is a rugged industrial single board computer with NXP i.MX8M Mini Quad Core ARM Cortex-A53 processor, supporting Ubuntu Linux.","The VENICE GW is part of Gateworks' 5th generation Venice family, featuring a 64-bit NXP i.MX8M Mini Quad Core ARM Cortex-A53 SoC processor, 2 GBytes LPDDR4 DRAM, and 16 GBytes eMMC storage. It supports a wide range of I/O interfaces and wireless capabilities, making it suitable for industrial embedded applications.","The VENICE GW single board computer is designed for rugged industrial applications, featuring a 64-bit NXP i.MX8M Mini Quad Core ARM Cortex-A53 processor operating at 1.8 GHz, 2 GBytes of LPDDR4 DRAM, and 16 GBytes of eMMC system flash. It includes two MiniPCIe slots for expansion, dual GbE Ethernet ports with PoE support, and a variety of I/O interfaces including digital IO, analog input, RS232/RS485/TTL serial, I2C, SPI, USB host and OTG ports, MIPI-DSI/MIPI-CSI, and IS audio. The board supports Ubuntu Linux and offers optional wireless modules for WiFi and Bluetooth connectivity.",['Rugged industrial embedded applications']
SBC-AP-ITX,SECO,Pico-ITX,False,x86,4,Intel,10W,Up to 8GB DDR3L ECC SODIMM,"Optional eMMC drive, 1x SATA connector, mini mSATA interface",12V DC,"['2x USB 3.0, 2x USB 2.0, 2x Gigabit Ethernet, 1x HDMI, 1x LVDS']",WiFi/Bluetooth module via IBR215-IO expansion board,"['Microsoft Windows 10', 'Microsoft Windows 8.1', 'Microsoft Windows 7', 'Microsoft Windows IoT', 'Microsoft Windows Embedded Standard 7', 'Microsoft Windows Embedded Compact 7', 'Linux 64-bit', 'Yocto']",85°C,-40°C,CE/ FCC Class-B,"Pico-ITX SBC with Intel Atom E family, supporting up to 8GB DDR3L ECC memory and various connectivity options.","The SBC-AP-ITX is a compact Pico-ITX single board computer featuring Intel Atom E family processors, offering up to 8GB DDR3L ECC memory, dual Gigabit Ethernet, HDMI and LVDS video outputs, and a range of I/O interfaces for industrial applications.","The SBC-AP-ITX by SECO is designed for industrial applications, featuring Intel Atom E family processors with up to 4 cores and 10W TDP. It supports up to 8GB DDR3L ECC SODIMM memory, optional eMMC storage, and provides dual Gigabit Ethernet, HDMI, LVDS, and multiple USB ports. The board is suitable for a wide range of operating systems including various versions of Windows and Linux, and is capable of operating in industrial temperature ranges.","['Industrial Automation', 'Control Systems', 'Information Kiosks', 'Internet of Things', 'Surveillance', 'Telecommunications', 'Transportation']"
SOM B,ADVANTECH,ETX,False,x86,"Single Core, Dual Core",INTEL,45 Watt,"DDR3, Up to 2 GB","eMMC, Optional SSD","5V, 5VSB","['PCI, ISA, IDE, SATAII, USB, GPIO, COM Ports, LPT, FDD']","802.11 a/b/g/n/ac, Bluetooth 4.2","['WES', 'XPE', 'WinCE', 'QNX']",60°C,0°C,"CE, FCC Class A","ETX CPU module with Intel Atom processor, supporting multiple displays and various I/O interfaces.","The SOM B is an ETX CPU module featuring Intel Atom processors, supporting DDR3 memory up to 2 GB, multiple display outputs including VGA and LVDS, and a variety of I/O interfaces such as PCI, ISA, SATAII, and USB.","The SOM B module is designed for embedded applications, featuring Intel Atom N and D processors with single and dual-core options. It supports DDR3 memory up to 2 GB, offers multiple display outputs including VGA and LVDS, and provides extensive I/O options such as PCI, ISA, SATAII, USB, and GPIO. The module operates within a temperature range of 0°C to 60°C and supports various embedded operating systems.","Embedded systems, industrial automation, digital signage, and other applications requiring compact and versatile computing solutions."
